Title:               Resident Population in Gates County, NC
Series ID:           NCGATE3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   8.524
1971-01-01   8.500
1972-01-01   8.500
1973-01-01   8.400
1974-01-01   8.400
1975-01-01   8.700
1976-01-01   8.500
1977-01-01   8.500
1978-01-01   8.400
1979-01-01   8.600
1980-01-01   8.875
1981-01-01   8.838
1982-01-01   8.936
1983-01-01   8.865
1984-01-01   8.985
1985-01-01   9.116
1986-01-01   9.222
1987-01-01   9.269
1988-01-01   9.333
1989-01-01   9.326
1990-01-01   9.337
1991-01-01   9.364
1992-01-01   9.524
1993-01-01   9.696
1994-01-01   9.832
1995-01-01   9.957
1996-01-01  10.086
1997-01-01  10.199
1998-01-01  10.436
1999-01-01  10.479
2000-01-01  10.498
2001-01-01  10.504
2002-01-01  10.540
2003-01-01  10.680
2004-01-01  10.713
2005-01-01  11.083
2006-01-01  11.444
2007-01-01  11.739
2008-01-01  11.750
2009-01-01  11.751
2010-01-01  12.167
2011-01-01  12.043
2012-01-01  11.891
2013-01-01  11.702
2014-01-01  11.635
2015-01-01  11.533
2016-01-01  11.593
2017-01-01  11.544
