Title:               Resident Population in Guilford County, NC
Series ID:           NCGUIL1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01  288.645
1971-01-01  294.600
1972-01-01  298.900
1973-01-01  300.600
1974-01-01  300.700
1975-01-01  302.000
1976-01-01  305.400
1977-01-01  310.100
1978-01-01  312.500
1979-01-01  314.900
1980-01-01  317.154
1981-01-01  320.029
1982-01-01  322.602
1983-01-01  324.773
1984-01-01  327.270
1985-01-01  329.656
1986-01-01  332.688
1987-01-01  336.905
1988-01-01  340.908
1989-01-01  344.523
1990-01-01  349.135
1991-01-01  356.433
1992-01-01  362.884
1993-01-01  370.568
1994-01-01  378.575
1995-01-01  387.665
1996-01-01  394.358
1997-01-01  401.113
1998-01-01  409.440
1999-01-01  416.459
2000-01-01  422.300
2001-01-01  427.770
2002-01-01  430.901
2003-01-01  434.532
2004-01-01  438.024
2005-01-01  444.873
2006-01-01  454.767
2007-01-01  463.987
2008-01-01  472.863
2009-01-01  478.841
2010-01-01  489.548
2011-01-01  495.241
2012-01-01  500.831
2013-01-01  506.771
2014-01-01  512.541
2015-01-01  517.722
2016-01-01  521.996
2017-01-01  526.953
