Title:               Resident Population in Granville County, NC
Series ID:           NCGRAN7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  32.762
1971-01-01  33.400
1972-01-01  33.400
1973-01-01  33.600
1974-01-01  33.700
1975-01-01  33.600
1976-01-01  33.500
1977-01-01  33.700
1978-01-01  33.800
1979-01-01  33.800
1980-01-01  34.043
1981-01-01  34.402
1982-01-01  34.790
1983-01-01  35.273
1984-01-01  35.681
1985-01-01  35.973
1986-01-01  36.871
1987-01-01  37.380
1988-01-01  38.051
1989-01-01  38.312
1990-01-01  38.465
1991-01-01  38.901
1992-01-01  39.771
1993-01-01  40.688
1994-01-01  41.191
1995-01-01  42.281
1996-01-01  43.281
1997-01-01  44.277
1998-01-01  46.386
1999-01-01  47.498
2000-01-01  48.857
2001-01-01  50.123
2002-01-01  51.758
2003-01-01  52.497
2004-01-01  52.781
2005-01-01  53.445
2006-01-01  54.325
2007-01-01  56.413
2008-01-01  57.277
2009-01-01  58.028
2010-01-01  57.660
2011-01-01  57.514
2012-01-01  57.587
2013-01-01  57.814
2014-01-01  58.067
2015-01-01  58.252
2016-01-01  58.824
2017-01-01  59.557
