Title:               Civilian Labor Force in Gaston County, NC
Series ID:           NCGAST0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01   92975
1990-02-01   93512
1990-03-01   94630
1990-04-01   93742
1990-05-01   94887
1990-06-01   95525
1990-07-01   98485
1990-08-01   96099
1990-09-01   95293
1990-10-01   97718
1990-11-01   95639
1990-12-01   96783
1991-01-01   94034
1991-02-01   96286
1991-03-01   95370
1991-04-01   95393
1991-05-01   95437
1991-06-01   96011
1991-07-01   98328
1991-08-01   96554
1991-09-01   96196
1991-10-01   97377
1991-11-01   96235
1991-12-01   95889
1992-01-01   94725
1992-02-01   94491
1992-03-01   94873
1992-04-01   94440
1992-05-01   95189
1992-06-01   96546
1992-07-01  100007
1992-08-01   99247
1992-09-01   96909
1992-10-01   97312
1992-11-01   97726
1992-12-01   97385
1993-01-01   94689
1993-02-01   95622
1993-03-01   95319
1993-04-01   94923
1993-05-01   96083
1993-06-01   97245
1993-07-01   97899
1993-08-01   96966
1993-09-01   95867
1993-10-01   97309
1993-11-01   97569
1993-12-01   98022
1994-01-01   95288
1994-02-01   95993
1994-03-01   95580
1994-04-01   95991
1994-05-01   96531
1994-06-01   97444
1994-07-01   98683
1994-08-01   98112
1994-09-01   98049
1994-10-01   98624
1994-11-01   99054
1994-12-01   98741
1995-01-01   96152
1995-02-01   96338
1995-03-01   96601
1995-04-01   97278
1995-05-01   97242
1995-06-01   98344
1995-07-01  100961
1995-08-01   99131
1995-09-01   99105
1995-10-01   99313
1995-11-01   99747
1995-12-01  100621
1996-01-01   98341
1996-02-01  100290
1996-03-01  101347
1996-04-01  101776
1996-05-01  101813
1996-06-01  102382
1996-07-01  103563
1996-08-01  101811
1996-09-01  101950
1996-10-01  103089
1996-11-01  103400
1996-12-01  103458
1997-01-01  100356
1997-02-01  100874
1997-03-01  101640
1997-04-01  101249
1997-05-01  102261
1997-06-01  102849
1997-07-01  103545
1997-08-01  102369
1997-09-01  101371
1997-10-01  101722
1997-11-01  101015
1997-12-01  101286
1998-01-01   97913
1998-02-01   98790
1998-03-01   99176
1998-04-01   99402
1998-05-01   99394
1998-06-01  100141
1998-07-01  101482
1998-08-01  100843
1998-09-01  100192
1998-10-01  100446
1998-11-01  100616
1998-12-01  100970
1999-01-01   99858
1999-02-01  100732
1999-03-01  100413
1999-04-01   99733
1999-05-01  100976
1999-06-01  101393
1999-07-01  104119
1999-08-01  102910
1999-09-01  102421
1999-10-01  103269
1999-11-01  104098
1999-12-01  104538
2000-01-01   97729
2000-02-01   98395
2000-03-01   98763
2000-04-01   99129
2000-05-01   99400
2000-06-01   99841
2000-07-01  101142
2000-08-01  102714
2000-09-01  101207
2000-10-01  102878
2000-11-01  101101
2000-12-01  101206
2001-01-01  102302
2001-02-01  101765
2001-03-01  101677
2001-04-01  101210
2001-05-01  103004
2001-06-01  101572
2001-07-01  103600
2001-08-01  101237
2001-09-01  101460
2001-10-01  102578
2001-11-01  102302
2001-12-01  102018
2002-01-01  100868
2002-02-01  100489
2002-03-01  100167
2002-04-01   99439
2002-05-01   99285
2002-06-01   99505
2002-07-01   99963
2002-08-01   99282
2002-09-01   99228
2002-10-01   99540
2002-11-01   99082
2002-12-01   98755
2003-01-01   97561
2003-02-01   98801
2003-03-01   98832
2003-04-01   99077
2003-05-01   99488
2003-06-01   99939
2003-07-01   98740
2003-08-01   97024
2003-09-01   97498
2003-10-01   98492
2003-11-01   98749
2003-12-01   98128
2004-01-01   96136
2004-02-01   96487
2004-03-01   96330
2004-04-01   95548
2004-05-01   95536
2004-06-01   96204
2004-07-01   95923
2004-08-01   95486
2004-09-01   95323
2004-10-01   96730
2004-11-01   96743
2004-12-01   96252
2005-01-01   94066
2005-02-01   94808
2005-03-01   94741
2005-04-01   94917
2005-05-01   95762
2005-06-01   96093
2005-07-01   96304
2005-08-01   96175
2005-09-01   96690
2005-10-01   98310
2005-11-01   97938
2005-12-01   97138
2006-01-01   95316
2006-02-01   96034
2006-03-01   96469
2006-04-01   96840
2006-05-01   97549
2006-06-01   97820
2006-07-01   98411
2006-08-01   99024
2006-09-01   99096
2006-10-01  100068
2006-11-01  100464
2006-12-01   99615
2007-01-01   96025
2007-02-01   96033
2007-03-01   96551
2007-04-01   96599
2007-05-01   97953
2007-06-01   97517
2007-07-01   98211
2007-08-01   97955
2007-09-01   98140
2007-10-01   98604
2007-11-01   99351
2007-12-01   98167
2008-01-01   97791
2008-02-01   97926
2008-03-01   98538
2008-04-01   98747
2008-05-01   99194
2008-06-01   99917
2008-07-01   99471
2008-08-01   99384
2008-09-01   99149
2008-10-01  101112
2008-11-01  101833
2008-12-01  102487
2009-01-01  100422
2009-02-01  101327
2009-03-01  100855
2009-04-01  101115
2009-05-01  100268
2009-06-01  100159
2009-07-01   99776
2009-08-01   99868
2009-09-01   98611
2009-10-01   98728
2009-11-01   98549
2009-12-01   98313
2010-01-01  100579
2010-02-01  101049
2010-03-01  101734
2010-04-01  102369
2010-05-01  102430
2010-06-01  101326
2010-07-01  101058
2010-08-01  101032
2010-09-01  100464
2010-10-01  100753
2010-11-01  101304
2010-12-01  100881
2011-01-01   99654
2011-02-01   99817
2011-03-01  100320
2011-04-01  100305
2011-05-01  100551
2011-06-01  100284
2011-07-01  100309
2011-08-01  100504
2011-09-01  100888
2011-10-01  101104
2011-11-01  101203
2011-12-01  100753
2012-01-01   99595
2012-02-01  100098
2012-03-01  100648
2012-04-01   99837
2012-05-01  101058
2012-06-01  100774
2012-07-01  101179
2012-08-01  100595
2012-09-01  101354
2012-10-01  103246
2012-11-01  101868
2012-12-01  101709
2013-01-01  100877
2013-02-01  100812
2013-03-01  100881
2013-04-01  100570
2013-05-01  101329
2013-06-01  101017
2013-07-01  101108
2013-08-01  100188
2013-09-01  100724
2013-10-01  100791
2013-11-01  101112
2013-12-01  100278
2014-01-01   99602
2014-02-01  100142
2014-03-01  101073
2014-04-01  100064
2014-05-01  100971
2014-06-01  100633
2014-07-01  101245
2014-08-01  100629
2014-09-01  100925
2014-10-01  102024
2014-11-01  101569
2014-12-01  101198
2015-01-01  100838
2015-02-01  101614
2015-03-01  101731
2015-04-01  102063
2015-05-01  103685
2015-06-01  103347
2015-07-01  103505
2015-08-01  102603
2015-09-01  102542
2015-10-01  103811
2015-11-01  103732
2015-12-01  103909
2016-01-01  103626
2016-02-01  104342
2016-03-01  104909
2016-04-01  104545
2016-05-01  105070
2016-06-01  105462
2016-07-01  106101
2016-08-01  105292
2016-09-01  106496
2016-10-01  107243
2016-11-01  107033
2016-12-01  106311
2017-01-01  106837
2017-02-01  107200
2017-03-01  107853
2017-04-01  107721
2017-05-01  108363
2017-06-01  108803
2017-07-01  109383
2017-08-01  108586
2017-09-01  109832
2017-10-01  110150
2017-11-01  110028
2017-12-01  109620
2018-01-01  109584
2018-02-01  110028
2018-03-01  110921
2018-04-01  110294
2018-05-01  111168
2018-06-01  111479
2018-07-01  111484
2018-08-01  109837
2018-09-01  110043
2018-10-01  111587
2018-11-01  111041
