Title:               Civilian Labor Force in Guilford County, NC
Series ID:           NCGUIL1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01  196547
1990-02-01  197933
1990-03-01  197893
1990-04-01  198820
1990-05-01  200732
1990-06-01  202416
1990-07-01  207055
1990-08-01  204627
1990-09-01  200111
1990-10-01  200288
1990-11-01  200777
1990-12-01  200263
1991-01-01  199524
1991-02-01  200159
1991-03-01  199736
1991-04-01  200452
1991-05-01  200897
1991-06-01  203949
1991-07-01  207064
1991-08-01  206928
1991-09-01  204347
1991-10-01  205023
1991-11-01  204537
1991-12-01  203349
1992-01-01  201862
1992-02-01  201427
1992-03-01  202328
1992-04-01  202394
1992-05-01  203830
1992-06-01  207481
1992-07-01  210597
1992-08-01  209379
1992-09-01  206406
1992-10-01  207226
1992-11-01  208186
1992-12-01  206915
1993-01-01  204937
1993-02-01  205801
1993-03-01  205529
1993-04-01  204674
1993-05-01  207163
1993-06-01  209195
1993-07-01  211381
1993-08-01  209317
1993-09-01  205786
1993-10-01  207980
1993-11-01  208109
1993-12-01  207576
1994-01-01  205894
1994-02-01  205955
1994-03-01  205369
1994-04-01  206868
1994-05-01  209315
1994-06-01  211533
1994-07-01  212655
1994-08-01  212544
1994-09-01  210840
1994-10-01  212978
1994-11-01  213996
1994-12-01  213297
1995-01-01  210555
1995-02-01  211728
1995-03-01  211493
1995-04-01  212596
1995-05-01  212150
1995-06-01  214021
1995-07-01  216928
1995-08-01  214911
1995-09-01  213721
1995-10-01  215788
1995-11-01  215636
1995-12-01  215329
1996-01-01  213241
1996-02-01  215506
1996-03-01  217145
1996-04-01  219170
1996-05-01  220823
1996-06-01  222842
1996-07-01  224820
1996-08-01  223126
1996-09-01  222187
1996-10-01  223812
1996-11-01  223598
1996-12-01  223337
1997-01-01  222118
1997-02-01  224083
1997-03-01  226433
1997-04-01  223236
1997-05-01  225198
1997-06-01  225332
1997-07-01  227473
1997-08-01  224066
1997-09-01  222943
1997-10-01  222270
1997-11-01  223369
1997-12-01  223761
1998-01-01  220239
1998-02-01  221478
1998-03-01  222329
1998-04-01  221599
1998-05-01  223053
1998-06-01  224257
1998-07-01  226023
1998-08-01  224443
1998-09-01  222977
1998-10-01  224476
1998-11-01  225435
1998-12-01  225137
