Title:               All Employees: Retail Trade in North Carolina
Series ID:           SMS37000004200000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01  381.0
1990-02-01  383.8
1990-03-01  381.4
1990-04-01  379.3
1990-05-01  376.8
1990-06-01  375.4
1990-07-01  374.5
1990-08-01  373.1
1990-09-01  373.5
1990-10-01  371.3
1990-11-01  370.4
1990-12-01  369.0
1991-01-01  367.2
1991-02-01  365.3
1991-03-01  361.9
1991-04-01  362.1
1991-05-01  361.9
1991-06-01  359.9
1991-07-01  359.7
1991-08-01  359.8
1991-09-01  359.3
1991-10-01  361.0
1991-11-01  358.2
1991-12-01  356.7
1992-01-01  356.4
1992-02-01  356.1
1992-03-01  356.6
1992-04-01  357.1
1992-05-01  356.6
1992-06-01  358.0
1992-07-01  357.3
1992-08-01  357.9
1992-09-01  357.9
1992-10-01  358.6
1992-11-01  358.6
1992-12-01  360.2
1993-01-01  361.1
1993-02-01  362.1
1993-03-01  360.2
1993-04-01  365.2
1993-05-01  365.3
1993-06-01  365.9
1993-07-01  369.3
1993-08-01  369.6
1993-09-01  369.6
1993-10-01  370.3
1993-11-01  370.6
1993-12-01  372.3
1994-01-01  373.0
1994-02-01  373.7
1994-03-01  374.8
1994-04-01  374.9
1994-05-01  375.2
1994-06-01  377.2
1994-07-01  376.8
1994-08-01  378.0
1994-09-01  380.4
1994-10-01  381.5
1994-11-01  384.0
1994-12-01  384.8
1995-01-01  387.4
1995-02-01  388.6
1995-03-01  389.0
1995-04-01  391.7
1995-05-01  393.0
1995-06-01  393.6
1995-07-01  398.6
1995-08-01  401.7
1995-09-01  403.9
1995-10-01  406.6
1995-11-01  406.6
1995-12-01  407.9
1996-01-01  407.9
1996-02-01  408.7
1996-03-01  409.1
1996-04-01  409.7
1996-05-01  411.9
1996-06-01  412.6
1996-07-01  412.9
1996-08-01  413.7
1996-09-01  411.6
1996-10-01  414.2
1996-11-01  416.4
1996-12-01  418.3
1997-01-01  423.0
1997-02-01  421.0
1997-03-01  423.1
1997-04-01  423.3
1997-05-01  423.7
1997-06-01  423.9
1997-07-01  426.5
1997-08-01  427.6
1997-09-01  428.7
1997-10-01  430.3
1997-11-01  434.1
1997-12-01  433.4
1998-01-01  427.0
1998-02-01  427.3
1998-03-01  427.3
1998-04-01  428.0
1998-05-01  428.0
1998-06-01  429.0
1998-07-01  426.9
1998-08-01  429.3
1998-09-01  431.2
1998-10-01  431.5
1998-11-01  433.1
1998-12-01  433.2
1999-01-01  434.6
1999-02-01  436.8
1999-03-01  438.4
1999-04-01  437.8
1999-05-01  438.6
1999-06-01  439.3
1999-07-01  443.3
1999-08-01  444.6
1999-09-01  445.5
1999-10-01  446.8
1999-11-01  448.3
1999-12-01  450.3
2000-01-01  450.0
2000-02-01  451.1
2000-03-01  451.6
2000-04-01  453.9
2000-05-01  454.9
2000-06-01  455.1
2000-07-01  452.1
2000-08-01  452.9
2000-09-01  452.1
2000-10-01  451.3
2000-11-01  450.8
2000-12-01  450.6
2001-01-01  456.5
2001-02-01  454.0
2001-03-01  452.5
2001-04-01  449.5
2001-05-01  448.1
2001-06-01  447.1
2001-07-01  444.4
2001-08-01  443.3
2001-09-01  442.7
2001-10-01  441.1
2001-11-01  439.2
2001-12-01  437.1
2002-01-01  438.1
2002-02-01  437.4
2002-03-01  438.2
2002-04-01  438.2
2002-05-01  437.0
2002-06-01  436.2
2002-07-01  436.6
2002-08-01  436.5
2002-09-01  435.5
2002-10-01  433.1
2002-11-01  434.5
2002-12-01  435.4
2003-01-01  432.1
2003-02-01  431.7
2003-03-01  430.0
2003-04-01  429.3
2003-05-01  429.0
2003-06-01  429.7
2003-07-01  428.4
2003-08-01  428.5
2003-09-01  428.3
2003-10-01  429.4
2003-11-01  430.1
2003-12-01  429.5
2004-01-01  430.4
2004-02-01  429.7
2004-03-01  430.0
2004-04-01  431.2
2004-05-01  432.8
2004-06-01  433.0
2004-07-01  433.4
2004-08-01  434.3
2004-09-01  435.4
2004-10-01  434.6
2004-11-01  434.9
2004-12-01  436.0
2005-01-01  437.0
2005-02-01  439.9
2005-03-01  440.6
2005-04-01  441.0
2005-05-01  439.7
2005-06-01  439.5
2005-07-01  443.2
2005-08-01  442.5
2005-09-01  442.9
2005-10-01  444.7
2005-11-01  444.3
2005-12-01  445.1
2006-01-01  446.1
2006-02-01  444.8
2006-03-01  445.1
2006-04-01  450.5
2006-05-01  449.8
2006-06-01  448.9
2006-07-01  452.5
2006-08-01  453.5
2006-09-01  454.4
2006-10-01  456.0
2006-11-01  458.7
2006-12-01  459.9
2007-01-01  463.3
2007-02-01  463.3
2007-03-01  465.0
2007-04-01  464.6
2007-05-01  465.9
2007-06-01  467.3
2007-07-01  465.5
2007-08-01  465.4
2007-09-01  465.4
2007-10-01  467.2
2007-11-01  468.3
2007-12-01  469.6
2008-01-01  470.7
2008-02-01  471.1
2008-03-01  470.2
2008-04-01  468.2
2008-05-01  466.4
2008-06-01  464.3
2008-07-01  463.0
2008-08-01  461.7
2008-09-01  460.4
2008-10-01  457.1
2008-11-01  453.1
2008-12-01  449.7
2009-01-01  443.3
2009-02-01  441.7
2009-03-01  439.4
2009-04-01  436.2
2009-05-01  438.4
2009-06-01  438.1
2009-07-01  437.8
2009-08-01  436.3
2009-09-01  435.6
2009-10-01  434.4
2009-11-01  433.6
2009-12-01  431.8
2010-01-01  433.0
2010-02-01  432.8
2010-03-01  434.0
2010-04-01  434.5
2010-05-01  434.6
2010-06-01  434.6
2010-07-01  434.7
2010-08-01  435.3
2010-09-01  435.2
2010-10-01  435.4
2010-11-01  436.2
2010-12-01  436.9
2011-01-01  436.5
2011-02-01  438.7
2011-03-01  439.2
2011-04-01  440.4
2011-05-01  439.8
2011-06-01  440.2
2011-07-01  441.7
2011-08-01  442.4
2011-09-01  443.2
2011-10-01  443.8
2011-11-01  444.9
2011-12-01  445.5
2012-01-01  450.0
2012-02-01  448.3
2012-03-01  448.8
2012-04-01  449.6
2012-05-01  450.6
2012-06-01  451.8
2012-07-01  451.7
2012-08-01  450.9
2012-09-01  452.6
2012-10-01  452.6
2012-11-01  455.1
