Title:               All Employees: Manufacturing: Non-Durable Goods in North Carolina
Series ID:           SMS37000003200000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:15 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01  480.3
1990-02-01  482.4
1990-03-01  481.9
1990-04-01  481.3
1990-05-01  478.2
1990-06-01  475.4
1990-07-01  472.8
1990-08-01  471.3
1990-09-01  472.6
1990-10-01  467.9
1990-11-01  466.2
1990-12-01  464.8
1991-01-01  464.5
1991-02-01  463.2
1991-03-01  461.2
1991-04-01  459.0
1991-05-01  459.2
1991-06-01  459.6
1991-07-01  460.1
1991-08-01  461.8
1991-09-01  462.7
1991-10-01  464.8
1991-11-01  465.2
1991-12-01  466.8
1992-01-01  464.3
1992-02-01  464.0
1992-03-01  464.5
1992-04-01  466.4
1992-05-01  468.1
1992-06-01  468.9
1992-07-01  471.1
1992-08-01  471.3
1992-09-01  472.9
1992-10-01  469.1
1992-11-01  468.3
1992-12-01  470.9
1993-01-01  473.4
1993-02-01  474.4
1993-03-01  474.8
1993-04-01  475.4
1993-05-01  474.0
1993-06-01  473.5
1993-07-01  471.2
1993-08-01  468.8
1993-09-01  468.8
1993-10-01  469.8
1993-11-01  469.1
1993-12-01  467.8
1994-01-01  465.8
1994-02-01  465.5
1994-03-01  465.6
1994-04-01  463.3
1994-05-01  464.8
1994-06-01  465.2
1994-07-01  466.1
1994-08-01  468.0
1994-09-01  468.1
1994-10-01  466.8
1994-11-01  466.3
1994-12-01  466.4
1995-01-01  466.4
1995-02-01  465.4
1995-03-01  464.9
1995-04-01  463.4
1995-05-01  462.4
1995-06-01  460.1
1995-07-01  459.2
1995-08-01  457.6
1995-09-01  455.4
1995-10-01  453.3
1995-11-01  451.9
1995-12-01  450.6
1996-01-01  444.1
1996-02-01  446.6
1996-03-01  442.9
1996-04-01  443.4
1996-05-01  442.3
1996-06-01  441.7
1996-07-01  435.1
1996-08-01  434.7
1996-09-01  434.6
1996-10-01  437.0
1996-11-01  436.5
1996-12-01  435.7
1997-01-01  432.9
1997-02-01  432.0
1997-03-01  430.6
1997-04-01  429.4
1997-05-01  429.0
1997-06-01  428.3
1997-07-01  425.8
1997-08-01  424.3
1997-09-01  426.2
1997-10-01  426.4
1997-11-01  423.9
1997-12-01  422.5
1998-01-01  424.7
1998-02-01  426.6
1998-03-01  425.2
1998-04-01  423.7
1998-05-01  421.6
1998-06-01  420.1
1998-07-01  416.1
1998-08-01  417.0
1998-09-01  414.7
1998-10-01  412.3
1998-11-01  410.2
1998-12-01  408.2
1999-01-01  407.0
1999-02-01  404.7
1999-03-01  402.1
1999-04-01  400.1
1999-05-01  398.8
1999-06-01  396.3
1999-07-01  393.9
1999-08-01  391.4
1999-09-01  390.2
1999-10-01  389.1
1999-11-01  388.2
1999-12-01  386.0
2000-01-01  383.8
2000-02-01  383.9
2000-03-01  382.7
2000-04-01  381.9
2000-05-01  380.6
2000-06-01  379.3
2000-07-01  378.0
2000-08-01  375.5
2000-09-01  373.5
2000-10-01  370.2
2000-11-01  369.8
2000-12-01  367.6
2001-01-01  365.3
2001-02-01  361.7
2001-03-01  358.4
2001-04-01  355.3
2001-05-01  349.8
2001-06-01  348.1
2001-07-01  345.8
2001-08-01  344.4
2001-09-01  341.9
2001-10-01  339.4
2001-11-01  336.9
2001-12-01  335.1
2002-01-01  333.5
2002-02-01  331.3
2002-03-01  329.4
2002-04-01  327.0
2002-05-01  326.3
2002-06-01  325.8
2002-07-01  324.8
2002-08-01  323.8
2002-09-01  322.8
2002-10-01  322.3
2002-11-01  321.1
2002-12-01  318.8
2003-01-01  316.6
2003-02-01  314.8
2003-03-01  313.1
2003-04-01  312.1
2003-05-01  308.1
2003-06-01  305.7
2003-07-01  298.6
2003-08-01  296.5
2003-09-01  294.2
2003-10-01  290.3
2003-11-01  288.6
2003-12-01  287.2
2004-01-01  286.3
2004-02-01  285.3
2004-03-01  284.6
2004-04-01  284.8
2004-05-01  283.9
2004-06-01  283.0
2004-07-01  283.1
2004-08-01  281.0
2004-09-01  280.1
2004-10-01  278.9
2004-11-01  277.3
2004-12-01  276.1
2005-01-01  275.2
2005-02-01  274.1
2005-03-01  273.1
2005-04-01  271.5
2005-05-01  270.7
2005-06-01  269.2
2005-07-01  268.0
2005-08-01  266.5
2005-09-01  265.7
2005-10-01  265.9
2005-11-01  265.2
2005-12-01  264.3
2006-01-01  262.7
2006-02-01  261.0
2006-03-01  259.7
2006-04-01  262.2
2006-05-01  260.9
2006-06-01  260.1
2006-07-01  258.2
2006-08-01  257.4
2006-09-01  256.3
2006-10-01  254.6
2006-11-01  252.7
2006-12-01  253.4
2007-01-01  252.7
2007-02-01  252.5
2007-03-01  251.4
2007-04-01  250.5
2007-05-01  250.1
2007-06-01  249.3
2007-07-01  248.9
2007-08-01  247.8
2007-09-01  246.7
2007-10-01  246.4
2007-11-01  246.6
2007-12-01  246.5
2008-01-01  245.0
2008-02-01  244.5
2008-03-01  243.9
2008-04-01  242.5
2008-05-01  240.6
2008-06-01  238.8
2008-07-01  238.6
2008-08-01  237.6
2008-09-01  236.5
2008-10-01  234.9
2008-11-01  233.3
2008-12-01  231.2
2009-01-01  226.0
2009-02-01  223.8
2009-03-01  219.5
2009-04-01  218.1
2009-05-01  216.4
2009-06-01  214.9
2009-07-01  213.5
2009-08-01  213.0
2009-09-01  212.8
2009-10-01  213.1
2009-11-01  212.1
2009-12-01  211.1
2010-01-01  210.7
2010-02-01  210.5
2010-03-01  210.2
2010-04-01  210.2
2010-05-01  210.4
2010-06-01  210.9
2010-07-01  210.8
2010-08-01  210.2
2010-09-01  210.3
2010-10-01  210.3
2010-11-01  210.0
2010-12-01  210.4
2011-01-01  210.0
2011-02-01  209.7
2011-03-01  209.5
2011-04-01  209.3
2011-05-01  209.1
2011-06-01  207.6
2011-07-01  207.2
2011-08-01  206.8
2011-09-01  205.8
2011-10-01  204.8
2011-11-01  204.2
2011-12-01  203.6
2012-01-01  204.4
2012-02-01  204.7
