Title:               All Employees: Professional, Scientific, and Technical Services in North Carolina
Series ID:           SMS37000006054000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:15 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01   86.6
1990-02-01   87.1
1990-03-01   88.0
1990-04-01   88.6
1990-05-01   88.8
1990-06-01   89.1
1990-07-01   89.6
1990-08-01   89.8
1990-09-01   89.5
1990-10-01   89.4
1990-11-01   89.9
1990-12-01   88.6
1991-01-01   87.4
1991-02-01   87.2
1991-03-01   87.5
1991-04-01   87.8
1991-05-01   88.1
1991-06-01   87.7
1991-07-01   87.1
1991-08-01   87.4
1991-09-01   87.6
1991-10-01   88.6
1991-11-01   88.6
1991-12-01   88.1
1992-01-01   90.2
1992-02-01   90.5
1992-03-01   90.7
1992-04-01   91.1
1992-05-01   91.6
1992-06-01   92.5
1992-07-01   93.0
1992-08-01   93.5
1992-09-01   93.8
1992-10-01   94.2
1992-11-01   94.0
1992-12-01   93.9
1993-01-01   94.9
1993-02-01   95.5
1993-03-01   95.8
1993-04-01   95.8
1993-05-01   95.8
1993-06-01   95.2
1993-07-01   96.1
1993-08-01   95.7
1993-09-01   96.3
1993-10-01   96.3
1993-11-01   97.7
1993-12-01   97.4
1994-01-01   96.8
1994-02-01   96.8
1994-03-01   96.8
1994-04-01   98.4
1994-05-01   97.2
1994-06-01   98.4
1994-07-01   99.2
1994-08-01   99.6
1994-09-01  100.3
1994-10-01  100.4
1994-11-01  100.9
1994-12-01  101.2
1995-01-01  101.8
1995-02-01  102.5
1995-03-01  102.7
1995-04-01  102.6
1995-05-01  103.0
1995-06-01  103.2
1995-07-01  103.3
1995-08-01  103.8
1995-09-01  104.5
1995-10-01  105.1
1995-11-01  105.3
1995-12-01  106.1
1996-01-01  106.9
1996-02-01  107.8
1996-03-01  108.9
1996-04-01  110.0
1996-05-01  110.8
1996-06-01  110.9
1996-07-01  111.5
1996-08-01  112.8
1996-09-01  113.0
1996-10-01  113.9
1996-11-01  114.4
1996-12-01  114.7
1997-01-01  116.3
1997-02-01  117.2
1997-03-01  117.6
1997-04-01  117.6
1997-05-01  118.2
1997-06-01  119.5
1997-07-01  120.6
1997-08-01  120.9
1997-09-01  122.3
1997-10-01  122.3
1997-11-01  123.5
1997-12-01  124.6
1998-01-01  124.0
1998-02-01  124.7
1998-03-01  124.8
1998-04-01  125.7
1998-05-01  127.0
1998-06-01  128.2
1998-07-01  129.6
1998-08-01  130.8
1998-09-01  131.5
1998-10-01  132.3
1998-11-01  133.0
1998-12-01  133.9
1999-01-01  135.2
1999-02-01  136.1
1999-03-01  136.0
1999-04-01  138.6
1999-05-01  139.3
1999-06-01  140.0
1999-07-01  138.8
1999-08-01  139.2
1999-09-01  139.3
1999-10-01  140.7
1999-11-01  141.2
1999-12-01  142.0
2000-01-01  141.5
2000-02-01  141.8
2000-03-01  142.5
2000-04-01  143.4
2000-05-01  143.2
2000-06-01  144.7
2000-07-01  145.6
2000-08-01  146.3
2000-09-01  146.8
2000-10-01  146.7
2000-11-01  147.0
2000-12-01  146.2
2001-01-01  146.6
2001-02-01  149.9
2001-03-01  149.9
2001-04-01  149.2
2001-05-01  150.1
2001-06-01  148.9
2001-07-01  147.3
2001-08-01  146.7
2001-09-01  145.9
2001-10-01  145.6
2001-11-01  144.1
2001-12-01  144.7
2002-01-01  145.2
2002-02-01  144.5
2002-03-01  144.4
2002-04-01  145.7
2002-05-01  145.1
2002-06-01  145.1
2002-07-01  146.0
2002-08-01  146.0
2002-09-01  146.5
2002-10-01  145.8
2002-11-01  145.7
2002-12-01  145.9
2003-01-01  144.9
2003-02-01  144.9
2003-03-01  144.7
2003-04-01  144.8
2003-05-01  145.5
2003-06-01  145.7
2003-07-01  143.7
2003-08-01  144.0
2003-09-01  144.8
2003-10-01  145.7
2003-11-01  146.1
2003-12-01  146.4
2004-01-01  147.2
2004-02-01  148.2
2004-03-01  148.3
2004-04-01  147.7
2004-05-01  147.9
2004-06-01  148.3
2004-07-01  149.2
2004-08-01  150.5
2004-09-01  150.3
2004-10-01  151.0
2004-11-01  152.0
2004-12-01  152.6
2005-01-01  153.9
2005-02-01  154.5
2005-03-01  154.7
2005-04-01  155.9
2005-05-01  155.9
2005-06-01  155.9
2005-07-01  157.3
2005-08-01  158.1
2005-09-01  159.2
2005-10-01  159.3
2005-11-01  160.1
2005-12-01  160.9
2006-01-01  165.1
2006-02-01  165.1
2006-03-01  166.3
2006-04-01  167.1
2006-05-01  167.9
2006-06-01  169.4
2006-07-01  171.1
2006-08-01  172.3
2006-09-01  173.4
2006-10-01  174.4
2006-11-01  175.8
2006-12-01  175.7
2007-01-01  176.6
2007-02-01  177.7
2007-03-01  178.8
2007-04-01  180.5
2007-05-01  182.0
2007-06-01  182.9
2007-07-01  183.1
2007-08-01  183.6
2007-09-01  183.7
2007-10-01  184.7
2007-11-01  185.0
2007-12-01  186.3
2008-01-01  187.1
2008-02-01  187.9
2008-03-01  187.8
2008-04-01  187.6
2008-05-01  187.8
2008-06-01  187.8
2008-07-01  186.3
2008-08-01  186.7
2008-09-01  186.1
2008-10-01  184.8
2008-11-01  183.4
2008-12-01  182.8
2009-01-01  181.7
2009-02-01  180.4
2009-03-01  178.8
2009-04-01  177.4
2009-05-01  176.6
2009-06-01  175.4
2009-07-01  175.3
2009-08-01  175.2
2009-09-01  175.5
2009-10-01  176.4
2009-11-01  178.3
2009-12-01  178.0
2010-01-01  176.7
2010-02-01  176.4
2010-03-01  177.5
2010-04-01  177.3
2010-05-01  177.3
2010-06-01  177.6
2010-07-01  178.5
2010-08-01  178.5
2010-09-01  178.1
2010-10-01  180.2
2010-11-01  180.8
2010-12-01  182.0
2011-01-01  183.9
2011-02-01  184.2
2011-03-01  185.0
2011-04-01  185.3
2011-05-01  185.0
2011-06-01  185.9
2011-07-01  187.4
2011-08-01  188.0
2011-09-01  188.5
2011-10-01  188.7
2011-11-01  189.7
2011-12-01  190.3
2012-01-01  190.6
2012-02-01  191.5
2012-03-01  191.3
2012-04-01  192.6
2012-05-01  194.2
2012-06-01  194.7
2012-07-01  194.1
2012-08-01  194.9
2012-09-01  195.2
2012-10-01  195.3
2012-11-01  196.0
2012-12-01  195.9
2013-01-01  196.0
2013-02-01  197.5
2013-03-01  198.9
2013-04-01  199.5
2013-05-01  199.7
2013-06-01  199.6
2013-07-01  198.9
2013-08-01  199.9
2013-09-01  200.7
2013-10-01  201.2
2013-11-01  201.8
2013-12-01  202.0
2014-01-01  203.0
2014-02-01  202.5
2014-03-01  204.0
2014-04-01  205.6
2014-05-01  205.8
2014-06-01  207.1
2014-07-01  209.3
2014-08-01  209.4
2014-09-01  210.2
2014-10-01  211.7
2014-11-01  212.3
2014-12-01  213.9
2015-01-01  214.9
2015-02-01  215.8
2015-03-01  216.2
2015-04-01  216.1
2015-05-01  218.2
2015-06-01  218.7
2015-07-01  218.8
2015-08-01  220.5
2015-09-01  221.2
2015-10-01  221.8
2015-11-01  222.7
2015-12-01  223.5
2016-01-01  223.6
2016-02-01  224.5
2016-03-01  225.9
2016-04-01  226.4
2016-05-01  227.5
2016-06-01  228.2
2016-07-01  229.5
2016-08-01  230.0
2016-09-01  231.4
2016-10-01  232.1
2016-11-01  232.8
2016-12-01  232.8
2017-01-01  234.4
2017-02-01  235.6
2017-03-01  236.3
2017-04-01  237.6
2017-05-01  238.4
2017-06-01  240.0
2017-07-01  240.6
2017-08-01  241.0
2017-09-01  240.9
2017-10-01  244.4
2017-11-01  244.7
