Title:               All Employees: State Government in North Carolina
Series ID:           SMS37000009092000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE        VALUE
1990-01-01  150.1
1990-02-01  151.0
1990-03-01  151.1
1990-04-01  151.5
1990-05-01  151.3
1990-06-01  152.0
1990-07-01  151.4
1990-08-01  150.3
1990-09-01  151.0
1990-10-01  151.7
1990-11-01  152.6
1990-12-01  152.1
1991-01-01  152.1
1991-02-01  152.3
1991-03-01  153.0
1991-04-01  153.5
1991-05-01  153.6
1991-06-01  153.5
1991-07-01  154.1
1991-08-01  154.1
1991-09-01  155.8
1991-10-01  156.1
1991-11-01  155.8
1991-12-01  156.8
1992-01-01  157.6
1992-02-01  158.7
1992-03-01  158.8
1992-04-01  158.8
1992-05-01  159.1
1992-06-01  159.3
1992-07-01  159.3
1992-08-01  159.9
1992-09-01  160.0
1992-10-01  160.2
1992-11-01  161.1
1992-12-01  161.2
1993-01-01  165.1
1993-02-01  163.8
1993-03-01  163.4
1993-04-01  162.9
1993-05-01  164.5
1993-06-01  164.4
1993-07-01  165.6
1993-08-01  166.3
1993-09-01  165.1
1993-10-01  164.0
1993-11-01  166.0
1993-12-01  167.3
1994-01-01  166.4
1994-02-01  165.7
1994-03-01  166.3
1994-04-01  167.0
1994-05-01  166.1
1994-06-01  166.5
1994-07-01  166.4
1994-08-01  170.8
1994-09-01  169.5
1994-10-01  168.4
1994-11-01  168.6
1994-12-01  168.9
1995-01-01  169.5
1995-02-01  169.9
1995-03-01  170.8
1995-04-01  170.1
1995-05-01  170.3
1995-06-01  170.0
1995-07-01  171.2
1995-08-01  170.9
1995-09-01  172.0
1995-10-01  172.0
1995-11-01  172.2
1995-12-01  172.4
1996-01-01  170.5
1996-02-01  172.6
1996-03-01  172.6
1996-04-01  173.0
1996-05-01  173.9
1996-06-01  174.6
1996-07-01  174.0
1996-08-01  174.4
1996-09-01  174.5
1996-10-01  174.9
1996-11-01  174.8
1996-12-01  174.9
1997-01-01  176.9
1997-02-01  176.3
1997-03-01  176.7
1997-04-01  179.8
1997-05-01  177.3
1997-06-01  178.0
1997-07-01  177.7
1997-08-01  175.9
1997-09-01  177.6
1997-10-01  177.8
1997-11-01  178.6
1997-12-01  178.7
1998-01-01  178.6
1998-02-01  179.1
1998-03-01  179.7
1998-04-01  182.4
1998-05-01  180.0
1998-06-01  179.2
1998-07-01  179.4
1998-08-01  178.7
1998-09-01  181.9
1998-10-01  183.6
1998-11-01  183.2
1998-12-01  184.0
1999-01-01  184.0
1999-02-01  184.9
1999-03-01  186.3
1999-04-01  184.1
1999-05-01  182.5
1999-06-01  182.6
1999-07-01  181.4
1999-08-01  182.5
1999-09-01  183.1
1999-10-01  183.4
1999-11-01  182.5
1999-12-01  183.0
2000-01-01  183.7
2000-02-01  184.5
2000-03-01  184.9
2000-04-01  189.0
2000-05-01  186.0
2000-06-01  186.1
2000-07-01  186.6
2000-08-01  185.8
2000-09-01  192.8
2000-10-01  192.9
2000-11-01  194.2
2000-12-01  193.2
2001-01-01  193.9
2001-02-01  193.4
2001-03-01  194.2
2001-04-01  194.3
2001-05-01  195.4
2001-06-01  197.4
2001-07-01  197.7
2001-08-01  196.6
2001-09-01  195.5
2001-10-01  195.7
2001-11-01  195.0
2001-12-01  196.3
2002-01-01  196.1
2002-02-01  195.4
2002-03-01  197.1
2002-04-01  196.9
2002-05-01  196.3
2002-06-01  195.2
2002-07-01  194.1
2002-08-01  192.4
2002-09-01  191.1
2002-10-01  190.1
2002-11-01  189.2
2002-12-01  189.1
2003-01-01  189.0
2003-02-01  188.2
2003-03-01  188.5
2003-04-01  187.7
2003-05-01  188.3
2003-06-01  189.3
2003-07-01  189.4
2003-08-01  190.3
2003-09-01  191.6
2003-10-01  190.8
2003-11-01  191.3
2003-12-01  191.0
2004-01-01  191.0
2004-02-01  191.7
2004-03-01  192.0
2004-04-01  193.6
2004-05-01  194.5
2004-06-01  194.4
2004-07-01  195.8
2004-08-01  196.8
2004-09-01  197.2
2004-10-01  196.9
2004-11-01  197.8
2004-12-01  199.5
2005-01-01  199.9
2005-02-01  200.2
2005-03-01  200.1
2005-04-01  198.9
2005-05-01  199.1
2005-06-01  199.3
2005-07-01  200.7
2005-08-01  200.7
2005-09-01  200.9
2005-10-01  197.4
2005-11-01  197.3
2005-12-01  199.0
2006-01-01  200.5
2006-02-01  200.7
2006-03-01  201.5
2006-04-01  202.1
2006-05-01  202.4
2006-06-01  203.8
2006-07-01  203.2
2006-08-01  203.6
2006-09-01  203.5
2006-10-01  204.2
2006-11-01  204.7
2006-12-01  204.9
2007-01-01  204.4
2007-02-01  205.0
2007-03-01  205.2
2007-04-01  206.1
2007-05-01  206.5
2007-06-01  207.5
2007-07-01  208.7
2007-08-01  207.9
2007-09-01  208.3
2007-10-01  207.6
2007-11-01  207.3
2007-12-01  207.7
2008-01-01  208.0
2008-02-01  208.6
2008-03-01  209.1
2008-04-01  209.0
2008-05-01  209.3
2008-06-01  208.7
2008-07-01  208.2
2008-08-01  210.0
2008-09-01  210.2
2008-10-01  212.0
2008-11-01  212.8
2008-12-01  212.8
2009-01-01  211.3
2009-02-01  210.2
2009-03-01  209.2
2009-04-01  209.5
2009-05-01  210.0
2009-06-01  210.6
2009-07-01  209.8
2009-08-01  209.1
2009-09-01  209.2
2009-10-01  207.8
2009-11-01  207.8
2009-12-01  207.6
2010-01-01  207.2
2010-02-01  207.3
2010-03-01  207.3
2010-04-01  208.3
2010-05-01  208.8
2010-06-01  209.9
2010-07-01  210.5
2010-08-01  210.5
2010-09-01  210.5
2010-10-01  209.9
2010-11-01  210.1
2010-12-01  211.3
2011-01-01  211.0
2011-02-01  210.9
2011-03-01  210.7
2011-04-01  210.5
2011-05-01  210.3
2011-06-01  206.8
2011-07-01  207.2
2011-08-01  207.3
2011-09-01  207.8
2011-10-01  208.3
2011-11-01  208.3
2011-12-01  207.8
2012-01-01  208.4
2012-02-01  208.0
2012-03-01  207.9
2012-04-01  207.5
2012-05-01  207.1
2012-06-01  207.0
2012-07-01  206.2
2012-08-01  207.3
2012-09-01  207.4
2012-10-01  207.6
2012-11-01  207.9
2012-12-01  207.4
2013-01-01  207.9
2013-02-01  209.2
2013-03-01  209.8
2013-04-01  209.4
2013-05-01  209.5
2013-06-01  208.8
