Title:               All Employees: State Government in North Carolina
2013-07-01  209.5
2013-08-01  208.2
2013-09-01  209.9
2013-10-01  209.1
2013-11-01  208.4
2013-12-01  208.7
2014-01-01  207.9
2014-02-01  207.3
2014-03-01  207.1
2014-04-01  207.4
2014-05-01  207.1
2014-06-01  207.5
2014-07-01  207.6
2014-08-01  207.4
2014-09-01  207.6
2014-10-01  207.9
2014-11-01  208.2
2014-12-01  207.7
2015-01-01  210.0
2015-02-01  207.8
2015-03-01  207.5
2015-04-01  206.5
2015-05-01  206.2
2015-06-01  204.7
2015-07-01  204.2
2015-08-01  204.6
2015-09-01  204.8
2015-10-01  205.6
2015-11-01  206.2
2015-12-01  206.4
2016-01-01  206.5
2016-02-01  207.5
2016-03-01  207.7
2016-04-01  206.8
2016-05-01  208.4
2016-06-01  211.4
2016-07-01  211.3
2016-08-01  209.0
2016-09-01  208.2
2016-10-01  208.1
2016-11-01  207.8
2016-12-01  208.4
2017-01-01  207.8
2017-02-01  207.7
2017-03-01  208.0
2017-04-01  208.3
2017-05-01  209.4
2017-06-01  210.2
2017-07-01  211.4
2017-08-01  212.5
2017-09-01  210.4
2017-10-01  210.4
2017-11-01  209.9
2017-12-01  209.6
2018-01-01  209.2
2018-02-01  208.6
2018-03-01  208.3
2018-04-01  208.5
2018-05-01  210.4
2018-06-01  212.1
2018-07-01  213.0
2018-08-01  213.2
2018-09-01  211.0
2018-10-01  210.6
