Title:               All Employees: Service-Providing in North Carolina
Series ID:           SMS37000000700000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE         VALUE
1990-01-01  2114.0
1990-02-01  2118.6
1990-03-01  2124.8
1990-04-01  2126.5
1990-05-01  2129.5
1990-06-01  2130.4
1990-07-01  2132.4
1990-08-01  2124.4
1990-09-01  2128.7
1990-10-01  2121.7
1990-11-01  2127.1
1990-12-01  2125.1
1991-01-01  2126.2
1991-02-01  2119.9
1991-03-01  2118.0
1991-04-01  2122.1
1991-05-01  2122.0
1991-06-01  2120.3
1991-07-01  2130.3
1991-08-01  2129.3
1991-09-01  2133.1
1991-10-01  2140.3
1991-11-01  2138.5
1991-12-01  2140.1
1992-01-01  2154.7
1992-02-01  2157.7
1992-03-01  2162.6
1992-04-01  2165.4
1992-05-01  2175.1
1992-06-01  2182.5
1992-07-01  2181.0
1992-08-01  2187.2
1992-09-01  2191.5
1992-10-01  2199.4
1992-11-01  2205.0
1992-12-01  2206.7
1993-01-01  2214.2
1993-02-01  2222.0
1993-03-01  2218.4
1993-04-01  2235.6
1993-05-01  2242.4
1993-06-01  2250.4
1993-07-01  2265.9
1993-08-01  2270.5
1993-09-01  2276.9
1993-10-01  2285.4
1993-11-01  2295.6
1993-12-01  2304.4
1994-01-01  2309.0
1994-02-01  2314.5
1994-03-01  2325.3
1994-04-01  2335.2
1994-05-01  2339.2
1994-06-01  2352.8
1994-07-01  2356.1
1994-08-01  2359.0
1994-09-01  2376.9
1994-10-01  2377.1
1994-11-01  2387.2
1994-12-01  2393.0
1995-01-01  2403.0
1995-02-01  2407.7
1995-03-01  2413.6
1995-04-01  2416.7
1995-05-01  2422.0
1995-06-01  2435.8
1995-07-01  2441.3
1995-08-01  2435.7
1995-09-01  2457.6
1995-10-01  2468.4
1995-11-01  2474.3
1995-12-01  2482.8
1996-01-01  2473.1
1996-02-01  2490.3
1996-03-01  2502.5
1996-04-01  2508.0
1996-05-01  2521.5
1996-06-01  2534.4
1996-07-01  2532.9
1996-08-01  2534.2
1996-09-01  2543.7
1996-10-01  2554.5
1996-11-01  2565.8
1996-12-01  2576.6
1997-01-01  2589.0
1997-02-01  2595.9
1997-03-01  2607.0
1997-04-01  2621.1
1997-05-01  2627.5
1997-06-01  2638.2
1997-07-01  2640.5
1997-08-01  2642.2
1997-09-01  2662.4
1997-10-01  2667.3
1997-11-01  2681.5
1997-12-01  2688.4
1998-01-01  2688.9
1998-02-01  2693.8
1998-03-01  2700.1
1998-04-01  2711.4
1998-05-01  2721.9
1998-06-01  2733.5
1998-07-01  2734.5
1998-08-01  2750.1
1998-09-01  2759.2
1998-10-01  2768.5
1998-11-01  2778.5
1998-12-01  2785.2
1999-01-01  2792.8
1999-02-01  2808.4
1999-03-01  2811.6
1999-04-01  2816.8
1999-05-01  2815.5
1999-06-01  2815.8
1999-07-01  2831.8
1999-08-01  2848.2
1999-09-01  2845.8
1999-10-01  2865.6
1999-11-01  2872.1
1999-12-01  2881.9
2000-01-01  2878.4
2000-02-01  2884.0
2000-03-01  2897.6
2000-04-01  2906.1
2000-05-01  2915.7
2000-06-01  2927.2
2000-07-01  2925.1
2000-08-01  2935.4
2000-09-01  2929.6
2000-10-01  2928.4
2000-11-01  2930.8
2000-12-01  2929.3
2001-01-01  2954.2
2001-02-01  2958.2
2001-03-01  2956.9
2001-04-01  2949.2
2001-05-01  2952.4
2001-06-01  2948.3
2001-07-01  2953.4
2001-08-01  2951.6
2001-09-01  2941.8
2001-10-01  2942.7
2001-11-01  2939.5
2001-12-01  2935.8
2002-01-01  2947.4
2002-02-01  2950.5
2002-03-01  2956.1
2002-04-01  2967.2
2002-05-01  2966.6
2002-06-01  2962.7
2002-07-01  2972.1
2002-08-01  2969.4
2002-09-01  2966.5
2002-10-01  2970.8
2002-11-01  2967.2
2002-12-01  2964.5
2003-01-01  2957.9
2003-02-01  2956.3
2003-03-01  2954.0
2003-04-01  2958.5
2003-05-01  2963.2
2003-06-01  2964.2
2003-07-01  2958.8
2003-08-01  2963.7
2003-09-01  2970.6
2003-10-01  2987.2
2003-11-01  2981.2
2003-12-01  2987.7
2004-01-01  2989.4
2004-02-01  2993.6
2004-03-01  2998.8
2004-04-01  3007.3
2004-05-01  3018.0
2004-06-01  3021.4
2004-07-01  3033.3
2004-08-01  3045.4
2004-09-01  3056.5
2004-10-01  3052.6
2004-11-01  3056.8
2004-12-01  3068.4
2005-01-01  3075.8
2005-02-01  3083.8
2005-03-01  3086.4
2005-04-01  3091.9
2005-05-01  3091.5
2005-06-01  3088.3
2005-07-01  3105.4
2005-08-01  3114.6
2005-09-01  3129.4
2005-10-01  3133.3
2005-11-01  3140.0
2005-12-01  3147.0
2006-01-01  3170.6
2006-02-01  3175.9
2006-03-01  3185.3
2006-04-01  3205.5
2006-05-01  3212.2
2006-06-01  3219.9
2006-07-01  3237.7
2006-08-01  3243.4
2006-09-01  3250.3
2006-10-01  3267.7
2006-11-01  3286.2
2006-12-01  3292.3
2007-01-01  3298.7
2007-02-01  3309.0
2007-03-01  3322.2
2007-04-01  3322.1
2007-05-01  3333.0
2007-06-01  3345.5
2007-07-01  3341.1
2007-08-01  3348.5
2007-09-01  3350.5
2007-10-01  3356.1
2007-11-01  3365.0
2007-12-01  3372.7
2008-01-01  3382.1
2008-02-01  3389.9
2008-03-01  3387.7
2008-04-01  3381.0
2008-05-01  3381.2
2008-06-01  3379.6
2008-07-01  3373.4
2008-08-01  3373.8
2008-09-01  3373.3
2008-10-01  3354.2
2008-11-01  3340.7
2008-12-01  3331.4
2009-01-01  3303.0
2009-02-01  3293.9
2009-03-01  3276.1
2009-04-01  3260.0
2009-05-01  3260.5
2009-06-01  3252.8
2009-07-01  3245.4
2009-08-01  3242.4
2009-09-01  3243.2
2009-10-01  3226.0
2009-11-01  3229.7
2009-12-01  3225.3
2010-01-01  3226.8
2010-02-01  3226.3
2010-03-01  3235.0
2010-04-01  3244.1
2010-05-01  3263.1
2010-06-01  3257.9
2010-07-01  3256.6
2010-08-01  3257.5
2010-09-01  3253.9
2010-10-01  3271.5
2010-11-01  3274.8
2010-12-01  3278.4
2011-01-01  3278.6
2011-02-01  3289.2
2011-03-01  3292.1
2011-04-01  3298.5
2011-05-01  3296.1
2011-06-01  3302.8
2011-07-01  3305.7
2011-08-01  3309.2
2011-09-01  3312.8
2011-10-01  3313.3
2011-11-01  3321.8
2011-12-01  3330.7
2012-01-01  3343.8
2012-02-01  3346.2
2012-03-01  3353.3
2012-04-01  3356.1
2012-05-01  3364.5
2012-06-01  3355.3
2012-07-01  3360.2
2012-08-01  3371.3
2012-09-01  3378.6
2012-10-01  3386.0
2012-11-01  3393.8
2012-12-01  3397.2
2013-01-01  3407.3
2013-02-01  3413.1
2013-03-01  3420.2
2013-04-01  3421.8
2013-05-01  3424.2
2013-06-01  3419.2
2013-07-01  3427.6
2013-08-01  3438.0
2013-09-01  3450.0
2013-10-01  3458.3
2013-11-01  3461.4
2013-12-01  3467.7
2014-01-01  3469.3
2014-02-01  3457.8
2014-03-01  3478.5
2014-04-01  3495.6
2014-05-01  3503.6
2014-06-01  3503.5
2014-07-01  3507.9
2014-08-01  3512.4
2014-09-01  3518.2
2014-10-01  3528.0
2014-11-01  3535.5
2014-12-01  3542.7
2015-01-01  3549.6
2015-02-01  3558.1
2015-03-01  3554.0
2015-04-01  3558.7
2015-05-01  3572.7
2015-06-01  3578.0
2015-07-01  3585.3
2015-08-01  3590.2
2015-09-01  3597.2
2015-10-01  3610.7
2015-11-01  3617.9
2015-12-01  3626.3
2016-01-01  3628.9
2016-02-01  3640.4
2016-03-01  3650.8
2016-04-01  3658.2
2016-05-01  3661.7
2016-06-01  3668.8
