Title:               All Employees: Goods Producing in North Carolina
Series ID:           SMS37000000600000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:03 PM CST
Notes:               This series is seasonally adjusted by the U.S. Bureau of Labor
                     Statistics.

DATE         VALUE
1990-01-01  1011.6
1990-02-01  1017.5
1990-03-01  1017.5
1990-04-01  1013.9
1990-05-01  1008.0
1990-06-01  1003.8
1990-07-01   998.3
1990-08-01   993.2
1990-09-01   990.3
1990-10-01   981.5
1990-11-01   979.5
1990-12-01   973.4
1991-01-01   966.4
1991-02-01   958.3
1991-03-01   951.0
1991-04-01   947.8
1991-05-01   944.8
1991-06-01   942.3
1991-07-01   943.1
1991-08-01   945.1
1991-09-01   946.9
1991-10-01   947.8
1991-11-01   946.0
1991-12-01   946.3
1992-01-01   948.3
1992-02-01   947.9
1992-03-01   949.3
1992-04-01   953.6
1992-05-01   958.0
1992-06-01   959.1
1992-07-01   960.9
1992-08-01   963.9
1992-09-01   965.7
1992-10-01   966.2
1992-11-01   967.3
1992-12-01   972.4
1993-01-01   977.4
1993-02-01   982.1
1993-03-01   982.4
1993-04-01   984.4
1993-05-01   985.1
1993-06-01   987.0
1993-07-01   988.4
1993-08-01   986.0
1993-09-01   986.9
1993-10-01   985.9
1993-11-01   990.2
1993-12-01   992.1
1994-01-01   990.3
1994-02-01   990.4
1994-03-01   992.9
1994-04-01   993.1
1994-05-01   996.3
1994-06-01   998.0
1994-07-01  1001.7
1994-08-01  1003.3
1994-09-01  1006.2
1994-10-01  1008.4
1994-11-01  1010.3
1994-12-01  1012.4
1995-01-01  1017.8
1995-02-01  1014.7
1995-03-01  1018.2
1995-04-01  1017.6
1995-05-01  1015.8
1995-06-01  1012.9
1995-07-01  1011.8
1995-08-01  1012.4
1995-09-01  1011.6
1995-10-01  1010.3
1995-11-01  1009.0
1995-12-01  1009.4
1996-01-01  1001.6
1996-02-01  1007.2
1996-03-01  1004.7
1996-04-01  1006.0
1996-05-01  1007.9
1996-06-01  1010.3
1996-07-01  1003.8
1996-08-01  1005.3
1996-09-01  1004.1
1996-10-01  1009.5
1996-11-01  1011.3
1996-12-01  1011.8
1997-01-01  1011.1
1997-02-01  1011.9
1997-03-01  1012.1
1997-04-01  1010.5
1997-05-01  1010.6
1997-06-01  1010.7
1997-07-01  1011.4
1997-08-01  1009.5
1997-09-01  1014.7
1997-10-01  1016.7
1997-11-01  1016.0
1997-12-01  1015.7
1998-01-01  1016.9
1998-02-01  1018.4
1998-03-01  1018.4
1998-04-01  1021.4
1998-05-01  1022.0
1998-06-01  1023.4
1998-07-01  1019.6
1998-08-01  1022.6
1998-09-01  1021.8
1998-10-01  1018.3
1998-11-01  1018.7
1998-12-01  1017.6
1999-01-01  1020.2
1999-02-01  1018.3
1999-03-01  1017.0
1999-04-01  1016.0
1999-05-01  1013.8
1999-06-01  1011.3
1999-07-01  1011.3
1999-08-01  1006.9
1999-09-01  1006.2
1999-10-01  1006.5
1999-11-01  1005.7
1999-12-01  1005.1
2000-01-01  1001.4
2000-02-01   999.4
2000-03-01  1003.4
2000-04-01  1001.2
2000-05-01  1001.3
2000-06-01  1000.6
2000-07-01  1001.2
2000-08-01   993.7
2000-09-01   996.3
2000-10-01   986.3
