Title:               Civilian Labor Force in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           HICK837LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE          VALUE
1990-01-01   169127
1990-02-01   169408
1990-03-01   169422
1990-04-01   169568
1990-05-01   169897
1990-06-01   169597
1990-07-01   168854
1990-08-01   168777
1990-09-01   169712
1990-10-01   170582
1990-11-01   170920
1990-12-01   171096
1991-01-01   170916
1991-02-01   170544
1991-03-01   170304
1991-04-01   170361
1991-05-01   170656
1991-06-01   171169
1991-07-01   171801
1991-08-01   172517
1991-09-01   173023
1991-10-01   172721
1991-11-01   172303
1991-12-01   172795
1992-01-01   173680
1992-02-01   174078
1992-03-01   174137
1992-04-01   174179
1992-05-01   174719
1992-06-01   175441
1992-07-01   175607
1992-08-01   175285
1992-09-01   174449
1992-10-01   173854
1992-11-01   174071
1992-12-01   174246
1993-01-01   174036
1993-02-01   173956
1993-03-01   174200
1993-04-01   174466
1993-05-01   174482
1993-06-01   174369
1993-07-01   174170
1993-08-01   173591
1993-09-01   173037
1993-10-01   173271
1993-11-01   173797
1993-12-01   174119
1994-01-01   174343
1994-02-01   174277
1994-03-01   174294
1994-04-01   174687
1994-05-01   174985
1994-06-01   175076
1994-07-01   175354
1994-08-01   176012
1994-09-01   176663
1994-10-01   176953
1994-11-01   177004
1994-12-01   177113
1995-01-01   177518
1995-02-01   178114
1995-03-01   178146
1995-04-01   177408
1995-05-01   176865
1995-06-01   177462
1995-07-01   178668
1995-08-01   178914
1995-09-01   178550
1995-10-01   178314
1995-11-01   178141
1995-12-01   178054
1996-01-01   178288
1996-02-01   179137
1996-03-01   180287
1996-04-01   181195
1996-05-01   181460
1996-06-01   181256
1996-07-01   180897
1996-08-01   180905
1996-09-01   181469
1996-10-01   181948
1996-11-01   182198
1996-12-01   182381
1997-01-01   182188
1997-02-01   181920
1997-03-01   182086
1997-04-01   182297
1997-05-01   182451
1997-06-01   182878
1997-07-01   183148
