Title:               Civilian Labor Force in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           HICK837LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE         VALUE
1990-01-01  166900
1990-02-01  168471
1990-03-01  167874
1990-04-01  167908
1990-05-01  170344
1990-06-01  172157
1990-07-01  171981
1990-08-01  169760
1990-09-01  170068
1990-10-01  171086
1990-11-01  169676
1990-12-01  170522
1991-01-01  168678
1991-02-01  169953
1991-03-01  168518
1991-04-01  168726
1991-05-01  169964
1991-06-01  174015
1991-07-01  183633
1991-08-01  174004
1991-09-01  173866
1991-10-01  172233
1991-11-01  171121
1991-12-01  171070
1992-01-01  172780
1992-02-01  172830
1992-03-01  173639
1992-04-01  171971
1992-05-01  174069
1992-06-01  178484
1992-07-01  179958
1992-08-01  177672
1992-09-01  173851
1992-10-01  172853
1992-11-01  173624
1992-12-01  173464
1993-01-01  172418
1993-02-01  172902
1993-03-01  173090
1993-04-01  173475
1993-05-01  173877
1993-06-01  176493
1993-07-01  177347
1993-08-01  175612
1993-09-01  171744
1993-10-01  172996
1993-11-01  173753
1993-12-01  173528
1994-01-01  173421
1994-02-01  173475
1994-03-01  173533
1994-04-01  173703
1994-05-01  174291
1994-06-01  176312
1994-07-01  177912
1994-08-01  177542
1994-09-01  176027
1994-10-01  176862
1994-11-01  176814
1994-12-01  177022
1995-01-01  176114
1995-02-01  177968
1995-03-01  178855
1995-04-01  175756
1995-05-01  176240
1995-06-01  177463
1995-07-01  184028
1995-08-01  179796
1995-09-01  177483
1995-10-01  177895
1995-11-01  177534
1995-12-01  177871
1996-01-01  179323
1996-02-01  179087
1996-03-01  179974
1996-04-01  181080
1996-05-01  180886
1996-06-01  182382
1996-07-01  183545
1996-08-01  181801
1996-09-01  180282
1996-10-01  181659
1996-11-01  181774
1996-12-01  182451
1997-01-01  181256
1997-02-01  181223
1997-03-01  182363
1997-04-01  181398
1997-05-01  182030
1997-06-01  183597
1997-07-01  187545
1997-08-01  183433
1997-09-01  179831
1997-10-01  181278
1997-11-01  182079
1997-12-01  180995
1998-01-01  180126
1998-02-01  179220
1998-03-01  180165
1998-04-01  178447
1998-05-01  178600
1998-06-01  178449
1998-07-01  179346
1998-08-01  179208
1998-09-01  178181
1998-10-01  176874
1998-11-01  177899
1998-12-01  178190
1999-01-01  178163
1999-02-01  178500
1999-03-01  178786
1999-04-01  177532
1999-05-01  180024
1999-06-01  179613
1999-07-01  182453
1999-08-01  181395
1999-09-01  178940
1999-10-01  180219
1999-11-01  181567
1999-12-01  182422
2000-01-01  186798
2000-02-01  188572
2000-03-01  188878
2000-04-01  188423
2000-05-01  188728
2000-06-01  189526
2000-07-01  190723
2000-08-01  190443
2000-09-01  188169
2000-10-01  188198
2000-11-01  189172
2000-12-01  189657
2001-01-01  191438
2001-02-01  192225
2001-03-01  191071
2001-04-01  189148
2001-05-01  188983
2001-06-01  188251
2001-07-01  189440
2001-08-01  186125
2001-09-01  185286
2001-10-01  185402
2001-11-01  185557
2001-12-01  184167
2002-01-01  184391
2002-02-01  185395
2002-03-01  184496
2002-04-01  183862
2002-05-01  182987
2002-06-01  182198
2002-07-01  182700
2002-08-01  180729
2002-09-01  179354
2002-10-01  179101
2002-11-01  179367
2002-12-01  177767
2003-01-01  180917
2003-02-01  182565
2003-03-01  181860
2003-04-01  182113
2003-05-01  180904
2003-06-01  181083
2003-07-01  181448
2003-08-01  179131
2003-09-01  177878
2003-10-01  177541
2003-11-01  177908
2003-12-01  176216
2004-01-01  180063
2004-02-01  180280
2004-03-01  180045
2004-04-01  178325
2004-05-01  178256
2004-06-01  178327
2004-07-01  179255
2004-08-01  176507
2004-09-01  175007
2004-10-01  176062
2004-11-01  176077
2004-12-01  175266
2005-01-01  175489
2005-02-01  176049
2005-03-01  175705
2005-04-01  176082
2005-05-01  176717
2005-06-01  176603
2005-07-01  178722
2005-08-01  175513
2005-09-01  175179
2005-10-01  177098
2005-11-01  176456
2005-12-01  174974
2006-01-01  175016
2006-02-01  176175
2006-03-01  175896
2006-04-01  176296
2006-05-01  177259
2006-06-01  178088
2006-07-01  179929
2006-08-01  178007
2006-09-01  176839
2006-10-01  177981
2006-11-01  178478
2006-12-01  176969
2007-01-01  174790
2007-02-01  173780
2007-03-01  173860
2007-04-01  173054
2007-05-01  173371
2007-06-01  173885
2007-07-01  175255
2007-08-01  172228
2007-09-01  172335
2007-10-01  171429
2007-11-01  172205
2007-12-01  171122
2008-01-01  173468
2008-02-01  172182
2008-03-01  173586
2008-04-01  172774
