Title:               All Employees: Private Service Providing in Winston-Salem, NC (MSA)
Series ID:           SMU37491800800000001
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Thousands of Persons
Date Range:          1990-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               

DATE        VALUE
1990-01-01  126.1
1990-02-01  125.8
1990-03-01  127.0
1990-04-01  127.1
1990-05-01  128.2
1990-06-01  129.8
1990-07-01  129.3
1990-08-01  129.8
1990-09-01  129.9
1990-10-01  131.1
1990-11-01  131.7
1990-12-01  131.1
1991-01-01  126.5
1991-02-01  126.2
1991-03-01  127.0
1991-04-01  127.2
1991-05-01  128.5
1991-06-01  129.9
1991-07-01  129.6
1991-08-01  130.7
1991-09-01  130.6
1991-10-01  131.1
1991-11-01  131.3
1991-12-01  131.2
1992-01-01  129.4
1992-02-01  128.9
1992-03-01  129.7
1992-04-01  129.7
1992-05-01  130.3
1992-06-01  131.7
1992-07-01  131.3
1992-08-01  131.7
1992-09-01  132.4
1992-10-01  133.3
1992-11-01  132.9
1992-12-01  134.1
1993-01-01  130.0
1993-02-01  130.3
1993-03-01  131.3
1993-04-01  133.7
1993-05-01  135.3
1993-06-01  135.4
1993-07-01  135.7
1993-08-01  136.1
1993-09-01  136.2
1993-10-01  136.3
1993-11-01  137.0
1993-12-01  137.9
1994-01-01  134.3
1994-02-01  133.3
1994-03-01  135.5
1994-04-01  138.0
1994-05-01  138.9
1994-06-01  140.9
1994-07-01  140.7
1994-08-01  140.7
1994-09-01  141.6
1994-10-01  142.1
1994-11-01  143.4
1994-12-01  144.7
1995-01-01  139.6
1995-02-01  139.5
1995-03-01  141.1
1995-04-01  140.9
1995-05-01  142.1
1995-06-01  144.1
1995-07-01  142.6
1995-08-01  144.2
1995-09-01  144.7
1995-10-01  144.6
1995-11-01  145.2
1995-12-01  145.8
1996-01-01  141.9
1996-02-01  142.7
1996-03-01  145.2
1996-04-01  145.9
1996-05-01  147.3
1996-06-01  148.2
1996-07-01  148.8
1996-08-01  149.9
1996-09-01  149.5
1996-10-01  149.6
1996-11-01  149.9
1996-12-01  151.0
1997-01-01  147.4
1997-02-01  147.9
1997-03-01  149.6
1997-04-01  149.8
1997-05-01  150.9
1997-06-01  152.6
1997-07-01  153.2
1997-08-01  154.0
1997-09-01  153.9
1997-10-01  152.7
1997-11-01  154.1
1997-12-01  154.9
1998-01-01  150.6
1998-02-01  151.0
1998-03-01  152.7
1998-04-01  153.7
1998-05-01  154.8
1998-06-01  155.6
1998-07-01  156.3
1998-08-01  156.8
1998-09-01  156.8
1998-10-01  156.2
1998-11-01  158.0
1998-12-01  159.1
1999-01-01  153.7
1999-02-01  154.9
1999-03-01  156.8
1999-04-01  158.7
1999-05-01  159.9
1999-06-01  160.7
1999-07-01  159.4
1999-08-01  160.1
1999-09-01  160.0
1999-10-01  161.0
1999-11-01  162.7
1999-12-01  163.8
2000-01-01  159.1
2000-02-01  159.4
2000-03-01  160.9
2000-04-01  161.4
2000-05-01  162.5
2000-06-01  164.1
2000-07-01  163.6
2000-08-01  164.4
2000-09-01  163.9
2000-10-01  163.1
2000-11-01  163.2
2000-12-01  164.3
2001-01-01  160.3
2001-02-01  160.0
2001-03-01  161.5
2001-04-01  161.1
2001-05-01  161.3
2001-06-01  162.8
2001-07-01  162.8
2001-08-01  163.5
2001-09-01  162.7
2001-10-01  161.6
2001-11-01  162.2
2001-12-01  162.8
2002-01-01  159.0
2002-02-01  159.0
2002-03-01  160.4
2002-04-01  162.3
2002-05-01  163.5
2002-06-01  164.2
2002-07-01  164.5
2002-08-01  165.7
2002-09-01  165.3
2002-10-01  164.7
2002-11-01  165.4
2002-12-01  166.1
2003-01-01  160.3
2003-02-01  160.7
2003-03-01  161.9
2003-04-01  162.8
2003-05-01  163.8
2003-06-01  164.3
2003-07-01  162.0
2003-08-01  163.5
2003-09-01  163.7
2003-10-01  163.1
2003-11-01  163.4
2003-12-01  164.8
2004-01-01  161.4
2004-02-01  161.3
2004-03-01  162.8
2004-04-01  163.9
