Title:               Average Weekly Earnings of All Employees: Total Private in Rocky Mount, NC (MSA)
Series ID:           SMU37405800500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  656.7
2007-02-01  662.0
2007-03-01  648.6
2007-04-01  643.7
2007-05-01  635.9
2007-06-01  637.8
2007-07-01  632.6
2007-08-01  615.7
2007-09-01  616.6
2007-10-01  597.9
2007-11-01  585.7
2007-12-01  577.0
2008-01-01  555.0
2008-02-01  550.3
2008-03-01  558.9
2008-04-01  570.2
2008-05-01  545.6
2008-06-01  549.4
2008-07-01  545.9
2008-08-01  525.9
2008-09-01  541.2
2008-10-01  540.6
2008-11-01  546.9
2008-12-01  530.9
2009-01-01  567.4
2009-02-01  588.7
2009-03-01  562.4
2009-04-01  544.8
2009-05-01  568.5
2009-06-01  546.8
2009-07-01  551.5
2009-08-01  567.5
2009-09-01  565.0
2009-10-01  576.0
2009-11-01  574.3
2009-12-01  567.7
2010-01-01  569.4
2010-02-01  561.7
2010-03-01  572.5
2010-04-01  564.9
2010-05-01  566.1
2010-06-01  560.6
2010-07-01  567.9
2010-08-01  577.1
2010-09-01  571.3
2010-10-01  571.1
2010-11-01  569.0
2010-12-01  569.8
2011-01-01  577.7
2011-02-01  583.8
2011-03-01  565.5
2011-04-01  565.0
2011-05-01  565.4
2011-06-01  565.1
2011-07-01  554.4
2011-08-01  545.0
2011-09-01  536.0
2011-10-01  559.6
2011-11-01  546.3
2011-12-01  540.0
2012-01-01  548.8
2012-02-01  527.2
2012-03-01  532.3
2012-04-01  545.1
2012-05-01  543.1
2012-06-01  550.7
2012-07-01  564.4
2012-08-01  553.3
2012-09-01  561.3
2012-10-01  555.3
2012-11-01  553.2
2012-12-01  564.7
2013-01-01  552.9
2013-02-01  564.6
2013-03-01  570.0
2013-04-01  576.0
2013-05-01  577.8
2013-06-01  595.8
2013-07-01  597.2
2013-08-01  601.8
2013-09-01  632.0
2013-10-01  618.1
2013-11-01  634.6
2013-12-01  639.5
2014-01-01  630.1
2014-02-01  631.4
2014-03-01  644.0
2014-04-01  644.3
2014-05-01  650.1
2014-06-01  648.7
2014-07-01  640.5
2014-08-01  650.8
2014-09-01  643.5
2014-10-01  651.8
2014-11-01  664.1
2014-12-01  665.5
2015-01-01  671.4
2015-02-01  667.7
2015-03-01  678.8
2015-04-01  669.2
2015-05-01  679.1
2015-06-01  673.4
2015-07-01  687.0
2015-08-01  688.1
2015-09-01  689.6
2015-10-01  678.4
2015-11-01  683.0
2015-12-01  673.2
2016-01-01  705.0
2016-02-01  670.5
2016-03-01  681.2
2016-04-01  700.1
2016-05-01  677.1
2016-06-01  669.4
2016-07-01  661.3
2016-08-01  648.1
2016-09-01  656.2
2016-10-01  663.4
2016-11-01  650.9
2016-12-01  639.6
2017-01-01  658.5
2017-02-01  682.6
2017-03-01  682.9
2017-04-01  698.2
2017-05-01  690.8
2017-06-01  678.8
2017-07-01  697.2
2017-08-01  706.7
2017-09-01  706.2
2017-10-01  718.3
2017-11-01  710.5
2017-12-01  726.5
2018-01-01  724.7
2018-02-01  738.2
2018-03-01  711.0
2018-04-01  718.4
2018-05-01  714.0
2018-06-01  742.0
2018-07-01  753.4
2018-08-01  759.8
2018-09-01  693.0
2018-10-01  722.4
