Title:               Average Weekly Earnings of All Employees: Total Private in Winston-Salem, NC (MSA)
Series ID:           SMU37491800500000011SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             State and Metro Area Employment, Hours, and Earnings (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Dollars per Week
Date Range:          2007-01-01 to 2018-10-01
Last Updated:        2018-11-16 4:08 PM CST
Notes:               The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X13-ARIMA-SEATS Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at https://cran.r-project.org/web/packages/x12/index.html. More
                     information on X13-ARIMA-SEATS can be found at
                     https://www.census.gov/srd/www/x13as/.

DATE        VALUE
2007-01-01  595.2
2007-02-01  625.8
2007-03-01  604.0
2007-04-01  655.3
2007-05-01  693.0
2007-06-01  697.3
2007-07-01  715.4
2007-08-01  688.3
2007-09-01  694.2
2007-10-01  682.3
2007-11-01  654.6
2007-12-01  634.6
2008-01-01  633.8
2008-02-01  612.8
2008-03-01  623.9
2008-04-01  631.5
2008-05-01  610.7
2008-06-01  619.2
2008-07-01  564.2
2008-08-01  562.6
2008-09-01  548.9
2008-10-01  606.7
2008-11-01  635.2
2008-12-01  617.2
2009-01-01  616.7
2009-02-01  619.9
2009-03-01  618.7
2009-04-01  602.8
2009-05-01  600.4
2009-06-01  611.7
2009-07-01  606.1
2009-08-01  626.6
2009-09-01  602.0
2009-10-01  590.3
2009-11-01  609.3
2009-12-01  604.4
2010-01-01  617.4
2010-02-01  619.8
2010-03-01  624.6
2010-04-01  632.2
2010-05-01  636.4
2010-06-01  637.6
2010-07-01  643.4
2010-08-01  657.7
2010-09-01  655.3
2010-10-01  646.8
2010-11-01  649.3
2010-12-01  654.1
2011-01-01  679.1
2011-02-01  674.4
2011-03-01  662.3
2011-04-01  665.7
2011-05-01  674.3
2011-06-01  672.6
2011-07-01  688.6
2011-08-01  683.5
2011-09-01  678.8
2011-10-01  703.9
2011-11-01  702.7
2011-12-01  724.0
2012-01-01  722.0
2012-02-01  716.0
2012-03-01  725.5
2012-04-01  743.3
2012-05-01  732.3
2012-06-01  738.3
2012-07-01  741.8
2012-08-01  730.2
2012-09-01  745.8
2012-10-01  737.9
2012-11-01  735.2
2012-12-01  746.3
2013-01-01  703.3
2013-02-01  708.4
2013-03-01  704.5
2013-04-01  707.8
2013-05-01  713.9
2013-06-01  729.6
2013-07-01  723.9
2013-08-01  728.9
2013-09-01  739.1
2013-10-01  727.8
2013-11-01  742.7
2013-12-01  780.9
2014-01-01  754.2
2014-02-01  721.8
2014-03-01  780.1
2014-04-01  750.6
2014-05-01  745.4
2014-06-01  752.8
2014-07-01  742.5
2014-08-01  746.8
2014-09-01  752.0
2014-10-01  753.6
2014-11-01  753.8
2014-12-01  759.4
2015-01-01  760.5
2015-02-01  763.6
2015-03-01  770.7
2015-04-01  753.7
2015-05-01  764.7
2015-06-01  763.4
2015-07-01  762.6
2015-08-01  782.9
2015-09-01  769.7
2015-10-01  790.1
2015-11-01  811.6
2015-12-01  778.4
2016-01-01  765.8
2016-02-01  790.1
2016-03-01  793.6
2016-04-01  807.1
2016-05-01  814.4
2016-06-01  802.8
2016-07-01  815.5
2016-08-01  819.6
2016-09-01  810.4
2016-10-01  803.4
2016-11-01  815.8
2016-12-01  805.0
2017-01-01  820.3
2017-02-01  838.3
2017-03-01  834.9
2017-04-01  842.1
2017-05-01  846.7
2017-06-01  833.7
2017-07-01  845.9
2017-08-01  836.6
2017-09-01  846.2
2017-10-01  853.0
2017-11-01  846.9
2017-12-01  847.6
2018-01-01  844.1
2018-02-01  843.7
2018-03-01  845.8
2018-04-01  845.6
2018-05-01  839.8
2018-06-01  856.7
2018-07-01  849.3
2018-08-01  851.1
2018-09-01  856.5
2018-10-01  853.5
