Title:               SNAP Benefits Recipients in North Carolina
Series ID:           BRNC37M647NCEN
Source:              U.S. Bureau of the Census
Release:             Small Area Income and Poverty Estimates
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1981-01-01 to 2017-06-01
Last Updated:        2018-12-20 2:31 PM CST
Notes:               For further information about SNAP Benefits from the Census browse the
                     links below.
                     
                     http://www.census.gov/did/www/saipe/index.html
                     
                     http://www.census.gov/did/www/saipe/data/model/tables.html
                     
                     http://www.census.gov/did/www/saipe/data/model/snap.html
                     
                     

DATE          VALUE
1981-01-01   616211
1981-02-01   635802
1981-03-01   641269
1981-04-01   619755
1981-05-01   601477
1981-06-01   594267
1981-07-01   593026
1981-08-01   589923
1981-09-01   581883
1981-10-01   569622
1981-11-01   566348
1981-12-01   583128
1982-01-01   589729
1982-02-01   604262
1982-03-01   609073
1982-04-01   593328
1982-05-01   577339
1982-06-01   568232
1982-07-01   556860
1982-08-01   547761
1982-09-01   541139
1982-10-01   536924
1982-11-01   545233
1982-12-01   568402
1983-01-01   575567
1983-02-01   585682
1983-03-01   588473
1983-04-01   573496
1983-05-01   559789
1983-06-01   545892
1983-07-01   528493
1983-08-01   522788
1983-09-01   512751
1983-10-01   509199
1983-11-01   517859
1983-12-01   527386
1984-01-01   532380
1984-02-01   535296
1984-03-01   533698
1984-04-01   516601
1984-05-01   499627
1984-06-01   487628
1984-07-01   476855
1984-08-01   472446
1984-09-01   463810
1984-10-01   463911
1984-11-01   471008
1984-12-01   481572
1985-01-01   486062
1985-02-01   494712
1985-03-01   498702
1985-04-01   489407
1985-05-01   474755
1985-06-01   465826
1985-07-01   459258
1985-08-01   455540
1985-09-01   449352
1985-10-01   446994
1985-11-01   452625
1985-12-01   462182
1986-01-01   467138
1986-02-01   471204
1986-03-01   469055
1986-04-01   460326
1986-05-01   446838
1986-06-01   438714
1986-07-01   431811
1986-08-01   428698
1986-09-01   424337
1986-10-01   419454
1986-11-01   417671
1986-12-01   425681
1987-01-01   428666
1987-02-01   433044
1987-03-01   437120
1987-04-01   430590
1987-05-01   417298
1987-06-01   406618
1987-07-01   399840
1987-08-01   395481
1987-09-01   389346
1987-10-01   385777
1987-11-01   381979
1987-12-01   387402
1988-01-01   398687
1988-02-01   408151
1988-03-01   418301
1988-04-01   409014
1988-05-01   396691
1988-06-01   391130
1988-07-01   386285
1988-08-01   383376
1988-09-01   379581
1988-10-01   382152
1988-11-01   380125
1988-12-01   394734
1989-01-01   397705
1989-02-01   392795
1989-03-01   403366
1989-04-01   400036
1989-05-01   387923
1989-06-01   389584
1989-07-01   386258
1989-08-01   381299
1989-09-01   387675
1989-10-01   389269
1989-11-01   395709
1989-12-01   409546
1990-01-01   415915
1990-02-01   421378
1990-03-01   430085
1990-04-01   427176
1990-05-01   418483
1990-06-01   427761
1990-07-01   427576
1990-08-01   427739
1990-09-01   437680
1990-10-01   445697
1990-11-01   469040
1990-12-01   488311
1991-01-01   498185
1991-02-01   520285
1991-03-01   530510
1991-04-01   539599
1991-05-01   532788
1991-06-01   540923
1991-07-01   534123
1991-08-01   551218
1991-09-01   555059
1991-10-01   555090
1991-11-01   575767
1991-12-01   584510
1992-01-01   593580
1992-02-01   607644
1992-03-01   605430
1992-04-01   614028
1992-05-01   608639
1992-06-01   605508
1992-07-01   600621
1992-08-01   608734
1992-09-01   601262
1992-10-01   618210
1992-11-01   622411
1992-12-01   620320
1993-01-01   636287
1993-02-01   626243
1993-03-01   641113
1993-04-01   639564
1993-05-01   632893
1993-06-01   619082
1993-07-01   625699
1993-08-01   626361
1993-09-01   616113
1993-10-01   629025
1993-11-01   629757
1993-12-01   632137
1994-01-01   640024
1994-02-01   625040
1994-03-01   646230
