Title:               Civilian Labor Force in Burlington, NC (MSA)
Series ID:           BURL537LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE         VALUE
1990-01-01   61111
1990-02-01   61262
1990-03-01   61387
1990-04-01   61495
1990-05-01   61599
1990-06-01   61649
1990-07-01   61726
1990-08-01   61706
1990-09-01   61511
1990-10-01   61422
1990-11-01   61555
1990-12-01   61824
1991-01-01   62128
1991-02-01   62292
1991-03-01   62361
1991-04-01   62255
1991-05-01   61943
1991-06-01   61850
1991-07-01   61993
1991-08-01   62209
1991-09-01   62417
1991-10-01   62457
1991-11-01   62329
1991-12-01   62199
1992-01-01   62093
1992-02-01   61969
1992-03-01   61952
1992-04-01   62023
1992-05-01   62185
1992-06-01   62501
1992-07-01   62868
1992-08-01   63125
1992-09-01   63226
1992-10-01   63279
1992-11-01   63317
1992-12-01   63228
1993-01-01   63051
1993-02-01   63007
1993-03-01   63043
1993-04-01   63077
1993-05-01   63155
1993-06-01   63201
1993-07-01   63139
1993-08-01   62911
1993-09-01   62695
1993-10-01   62665
1993-11-01   62714
1993-12-01   62744
1994-01-01   62694
1994-02-01   62576
1994-03-01   62626
1994-04-01   63000
1994-05-01   63365
1994-06-01   63429
1994-07-01   63458
1994-08-01   63698
1994-09-01   64027
1994-10-01   64335
1994-11-01   64546
1994-12-01   64554
1995-01-01   64502
1995-02-01   64495
1995-03-01   64475
1995-04-01   64470
1995-05-01   64466
1995-06-01   64418
1995-07-01   64362
1995-08-01   64428
1995-09-01   64613
1995-10-01   64746
1995-11-01   64839
1995-12-01   65067
1996-01-01   65424
1996-02-01   65753
1996-03-01   66045
1996-04-01   66316
1996-05-01   66549
1996-06-01   66742
1996-07-01   66871
1996-08-01   67032
1996-09-01   67257
1996-10-01   67366
1996-11-01   67368
1996-12-01   67524
1997-01-01   67778
1997-02-01   67967
1997-03-01   68101
1997-04-01   68141
1997-05-01   68167
1997-06-01   68231
1997-07-01   68178
1997-08-01   67990
1997-09-01   67776
1997-10-01   67609
1997-11-01   67651
1997-12-01   67673
1998-01-01   67534
1998-02-01   67515
1998-03-01   67556
1998-04-01   67538
1998-05-01   67518
1998-06-01   67597
1998-07-01   67783
1998-08-01   67922
1998-09-01   67965
1998-10-01   68001
1998-11-01   68048
1998-12-01   68107
1999-01-01   68227
1999-02-01   68335
1999-03-01   68308
1999-04-01   68213
1999-05-01   68199
1999-06-01   68150
1999-07-01   68045
1999-08-01   68079
1999-09-01   68298
1999-10-01   68607
1999-11-01   68842
1999-12-01   68988
2000-01-01   69343
2000-02-01   69282
2000-03-01   69288
2000-04-01   69376
2000-05-01   69523
2000-06-01   69693
2000-07-01   69704
2000-08-01   69562
2000-09-01   69504
2000-10-01   69617
2000-11-01   69931
2000-12-01   70208
2001-01-01   70185
2001-02-01   70070
2001-03-01   69802
2001-04-01   69334
2001-05-01   69152
2001-06-01   69223
2001-07-01   68940
2001-08-01   68489
2001-09-01   68513
2001-10-01   68719
2001-11-01   68714
2001-12-01   68803
2002-01-01   69137
2002-02-01   69432
2002-03-01   69407
2002-04-01   69150
2002-05-01   69041
2002-06-01   69062
2002-07-01   68952
2002-08-01   68889
2002-09-01   69033
2002-10-01   69042
2002-11-01   68898
2002-12-01   69163
2003-01-01   69800
2003-02-01   70198
2003-03-01   70375
2003-04-01   70509
2003-05-01   70381
2003-06-01   70080
2003-07-01   70007
2003-08-01   70138
2003-09-01   70043
2003-10-01   69876
2003-11-01   69888
2003-12-01   69860
2004-01-01   69792
2004-02-01   69702
2004-03-01   69485
2004-04-01   69193
2004-05-01   69004
2004-06-01   68987
2004-07-01   69162
2004-08-01   69276
2004-09-01   69114
2004-10-01   68983
2004-11-01   68952
2004-12-01   68788
2005-01-01   68637
2005-02-01   68715
2005-03-01   68809
2005-04-01   68858
2005-05-01   68929
2005-06-01   68796
2005-07-01   68627
2005-08-01   68762
2005-09-01   68874
2005-10-01   68677
2005-11-01   68461
2005-12-01   68348
2006-01-01   68284
2006-02-01   68338
2006-03-01   68610
2006-04-01   69104
2006-05-01   69428
2006-06-01   69477
2006-07-01   69721
2006-08-01   70058
2006-09-01   70222
2006-10-01   70489
2006-11-01   70783
2006-12-01   70638
2007-01-01   70062
2007-02-01   69638
2007-03-01   69587
2007-04-01   69598
2007-05-01   69720
2007-06-01   70143
2007-07-01   70470
2007-08-01   70395
2007-09-01   70186
2007-10-01   70076
2007-11-01   70076
2007-12-01   70222
2008-01-01   70473
2008-02-01   70641
2008-03-01   70735
2008-04-01   70856
2008-05-01   70965
2008-06-01   71065
2008-07-01   71173
2008-08-01   71214
2008-09-01   71228
2008-10-01   71137
2008-11-01   72155
2008-12-01   72325
2009-01-01   72348
2009-02-01   72236
2009-03-01   72112
2009-04-01   71955
2009-05-01   71664
2009-06-01   71497
2009-07-01   71417
2009-08-01   71124
2009-09-01   70675
2009-10-01   70491
2009-11-01   70596
2009-12-01   70779
2010-01-01   76773
2010-02-01   76896
2010-03-01   76957
2010-04-01   77013
2010-05-01   76923
2010-06-01   76789
2010-07-01   76751
2010-08-01   76713
2010-09-01   76583
2010-10-01   76588
2010-11-01   76786
2010-12-01   76873
2011-01-01   76855
2011-02-01   76838
2011-03-01   76913
2011-04-01   77072
2011-05-01   77193
2011-06-01   77244
2011-07-01   77257
2011-08-01   77376
2011-09-01   77588
2011-10-01   77659
2011-11-01   77592
2011-12-01   77606
2012-01-01   77717
2012-02-01   77871
2012-03-01   77932
2012-04-01   77905
2012-05-01   77984
2012-06-01   78036
2012-07-01   77960
2012-08-01   77914
2012-09-01   78007
2012-10-01   78123
2012-11-01   78208
2012-12-01   78329
2013-01-01   78270
2013-02-01   77959
2013-03-01   77662
2013-04-01   77543
2013-05-01   77540
2013-06-01   77477
2013-07-01   77259
2013-08-01   76987
2013-09-01   76785
2013-10-01   76623
2013-11-01   76473
2013-12-01   76332
2014-01-01   76296
2014-02-01   76411
2014-03-01   76510
2014-04-01   76535
2014-05-01   76559
2014-06-01   76712
2014-07-01   77008
2014-08-01   77184
2014-09-01   77216
2014-10-01   77222
2014-11-01   77156
2014-12-01   77108
2015-01-01   77138
2015-02-01   77170
2015-03-01   77161
2015-04-01   77230
2015-05-01   77341
2015-06-01   77258
2015-07-01   77115
2015-08-01   77066
2015-09-01   77165
2015-10-01   77404
2015-11-01   77647
2015-12-01   77842
2016-01-01   77993
2016-02-01   78201
2016-03-01   78387
2016-04-01   78450
2016-05-01   78532
2016-06-01   78687
2016-07-01   78882
2016-08-01   79138
2016-09-01   79374
2016-10-01   79491
