"","Date","Site.ID","Daily.Mean.Concentration","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2018-01-02,370110002,2.9,"PM2.5","Avery",35.972347,-81.933072
"2",2018-01-05,370110002,3.7,"PM2.5","Avery",35.972347,-81.933072
"3",2018-01-08,370110002,5.3,"PM2.5","Avery",35.972347,-81.933072
"4",2018-01-11,370110002,0.8,"PM2.5","Avery",35.972347,-81.933072
"5",2018-01-14,370110002,2.5,"PM2.5","Avery",35.972347,-81.933072
"6",2018-01-17,370110002,4.5,"PM2.5","Avery",35.972347,-81.933072
"7",2018-01-20,370110002,1.8,"PM2.5","Avery",35.972347,-81.933072
"8",2018-01-23,370110002,2.5,"PM2.5","Avery",35.972347,-81.933072
"9",2018-01-26,370110002,4.2,"PM2.5","Avery",35.972347,-81.933072
"10",2018-01-29,370110002,1.7,"PM2.5","Avery",35.972347,-81.933072
"11",2018-02-01,370110002,5.7,"PM2.5","Avery",35.972347,-81.933072
"12",2018-02-04,370110002,1.2,"PM2.5","Avery",35.972347,-81.933072
"13",2018-02-07,370110002,2.2,"PM2.5","Avery",35.972347,-81.933072
"14",2018-02-10,370110002,3.3,"PM2.5","Avery",35.972347,-81.933072
"15",2018-02-13,370110002,2.6,"PM2.5","Avery",35.972347,-81.933072
"16",2018-02-16,370110002,2.3,"PM2.5","Avery",35.972347,-81.933072
"17",2018-02-19,370110002,3.1,"PM2.5","Avery",35.972347,-81.933072
"18",2018-02-22,370110002,7.8,"PM2.5","Avery",35.972347,-81.933072
"19",2018-02-25,370110002,4.1,"PM2.5","Avery",35.972347,-81.933072
"20",2018-02-28,370110002,3.6,"PM2.5","Avery",35.972347,-81.933072
"21",2018-03-06,370110002,10.6,"PM2.5","Avery",35.972347,-81.933072
"22",2018-03-09,370110002,4.3,"PM2.5","Avery",35.972347,-81.933072
"23",2018-03-12,370110002,2.4,"PM2.5","Avery",35.972347,-81.933072
"24",2018-03-15,370110002,7.1,"PM2.5","Avery",35.972347,-81.933072
"25",2018-03-18,370110002,5.4,"PM2.5","Avery",35.972347,-81.933072
"26",2018-03-21,370110002,1.3,"PM2.5","Avery",35.972347,-81.933072
"27",2018-03-24,370110002,5.1,"PM2.5","Avery",35.972347,-81.933072
"28",2018-03-27,370110002,4.4,"PM2.5","Avery",35.972347,-81.933072
"29",2018-03-30,370110002,1.6,"PM2.5","Avery",35.972347,-81.933072
"30",2018-04-02,370110002,6,"PM2.5","Avery",35.972347,-81.933072
"31",2018-04-05,370110002,4.5,"PM2.5","Avery",35.972347,-81.933072
"32",2018-04-08,370110002,2.9,"PM2.5","Avery",35.972347,-81.933072
"33",2018-04-11,370110002,4.5,"PM2.5","Avery",35.972347,-81.933072
"34",2018-04-14,370110002,7.7,"PM2.5","Avery",35.972347,-81.933072
