Title:               State Government Tax Collections, General Sales and Gross Receipts Taxes in North Carolina
Series ID:           NCSALESTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE          VALUE
1942-01-01    15663
1943-01-01        .
1944-01-01    19652
1945-01-01        .
1946-01-01    26555
1947-01-01        .
1948-01-01    39335
1949-01-01        .
1950-01-01    41848
1951-01-01    50004
1952-01-01    51821
1953-01-01    55198
1954-01-01    55507
1955-01-01    58355
1956-01-01    71465
1957-01-01    73595
1958-01-01    73296
1959-01-01    81329
1960-01-01    87978
1961-01-01    89813
1962-01-01   131216
1963-01-01   145942
1964-01-01   156731
1965-01-01   168468
1966-01-01   188246
1967-01-01   201642
1968-01-01   217552
1969-01-01   239596
1970-01-01   264461
1971-01-01   286096
1972-01-01   325417
1973-01-01   369558
1974-01-01   410422
1975-01-01   424018
1976-01-01   465862
1977-01-01   511501
1978-01-01   580332
1979-01-01   648293
1980-01-01   693564
1981-01-01   738879
1982-01-01   779512
1983-01-01   825703
1984-01-01  1002119
1985-01-01  1159614
1986-01-01  1384069
1987-01-01  1461019
1988-01-01  1627672
1989-01-01  1701833
1990-01-01  1772911
1991-01-01  1689871
1992-01-01  2171041
1993-01-01  2353722
1994-01-01  2589005
1995-01-01  2794111
1996-01-01  2970566
1997-01-01  3056831
1998-01-01  3272774
1999-01-01  3342157
2000-01-01  3374566
2001-01-01  3456078
2002-01-01  3740715
2003-01-01  4005124
2004-01-01  4351822
2005-01-01  4602082
2006-01-01  5021648
2007-01-01  5202423
2008-01-01  5269929
2009-01-01  4963434
2010-01-01  5856993
2011-01-01  6185008
2012-01-01  5573658
2013-01-01  5592560
2014-01-01  5842182
2015-01-01  6862578
2016-01-01  7187844
2017-01-01  7656898
