Title:               Resident Population in Stokes County, NC
Series ID:           NCSTOK9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  23.782
1971-01-01  25.000
1972-01-01  26.300
1973-01-01  27.200
1974-01-01  28.300
1975-01-01  29.300
1976-01-01  29.800
1977-01-01  30.300
1978-01-01  31.100
1979-01-01  32.200
1980-01-01  33.086
1981-01-01  33.690
1982-01-01  34.256
1983-01-01  34.371
1984-01-01  34.945
1985-01-01  35.371
1986-01-01  35.610
1987-01-01  36.183
1988-01-01  36.401
1989-01-01  36.803
1990-01-01  37.396
1991-01-01  37.806
1992-01-01  38.732
1993-01-01  39.050
1994-01-01  40.207
1995-01-01  41.170
1996-01-01  42.142
1997-01-01  42.906
1998-01-01  43.588
1999-01-01  44.255
2000-01-01  44.724
2001-01-01  44.767
2002-01-01  44.719
2003-01-01  44.814
2004-01-01  45.079
2005-01-01  45.354
2006-01-01  45.799
2007-01-01  45.943
2008-01-01  46.069
2009-01-01  45.983
2010-01-01  47.349
2011-01-01  47.151
2012-01-01  46.737
2013-01-01  46.526
2014-01-01  46.333
2015-01-01  46.153
2016-01-01  45.891
2017-01-01  45.717
