Title:               Civilian Labor Force in Stokes County, NC
Series ID:           NCSTOK9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  20040
1990-02-01  20380
1990-03-01  20297
1990-04-01  20283
1990-05-01  20414
1990-06-01  20705
1990-07-01  21004
1990-08-01  20754
1990-09-01  20280
1990-10-01  20508
1990-11-01  20508
1990-12-01  20366
1991-01-01  20075
1991-02-01  20080
1991-03-01  20384
1991-04-01  20382
1991-05-01  20442
1991-06-01  20725
1991-07-01  20748
1991-08-01  20470
1991-09-01  20288
1991-10-01  20411
1991-11-01  20316
1991-12-01  20231
1992-01-01  20464
1992-02-01  20518
1992-03-01  20585
1992-04-01  20549
1992-05-01  20653
1992-06-01  21063
1992-07-01  21187
1992-08-01  20910
1992-09-01  20662
1992-10-01  20762
1992-11-01  20879
1992-12-01  20759
1993-01-01  20503
1993-02-01  20621
1993-03-01  20697
1993-04-01  20570
1993-05-01  20834
1993-06-01  21008
1993-07-01  21204
1993-08-01  20934
1993-09-01  20566
1993-10-01  20850
1993-11-01  21003
1993-12-01  21061
1994-01-01  20931
1994-02-01  20814
1994-03-01  20810
1994-04-01  21032
1994-05-01  21337
1994-06-01  21903
1994-07-01  21878
1994-08-01  21527
1994-09-01  21296
1994-10-01  21561
1994-11-01  21812
1994-12-01  21685
1995-01-01  21643
1995-02-01  21801
1995-03-01  21836
1995-04-01  21813
1995-05-01  21868
1995-06-01  21977
1995-07-01  22711
1995-08-01  22025
1995-09-01  21910
1995-10-01  22132
1995-11-01  22197
1995-12-01  22251
1996-01-01  22430
1996-02-01  22428
1996-03-01  22696
1996-04-01  22771
1996-05-01  22869
1996-06-01  23063
1996-07-01  23203
1996-08-01  22968
1996-09-01  22988
1996-10-01  23202
1996-11-01  23233
1996-12-01  23229
1997-01-01  23214
1997-02-01  23212
1997-03-01  23427
1997-04-01  23364
1997-05-01  23462
1997-06-01  23468
1997-07-01  23568
1997-08-01  23290
1997-09-01  23247
1997-10-01  23209
1997-11-01  23419
1997-12-01  23528
1998-01-01  23194
1998-02-01  23434
1998-03-01  23392
1998-04-01  23246
1998-05-01  23317
1998-06-01  23422
1998-07-01  23580
1998-08-01  23482
1998-09-01  23317
1998-10-01  23707
1998-11-01  23775
1998-12-01  23826
1999-01-01  23679
1999-02-01  23798
1999-03-01  23838
1999-04-01  23658
1999-05-01  23751
1999-06-01  23907
1999-07-01  23914
1999-08-01  23639
1999-09-01  23545
1999-10-01  23987
1999-11-01  24126
1999-12-01  24231
2000-01-01  23747
2000-02-01  23975
2000-03-01  23933
2000-04-01  23914
2000-05-01  23890
2000-06-01  24022
2000-07-01  24207
2000-08-01  24090
2000-09-01  23938
2000-10-01  24021
2000-11-01  24059
2000-12-01  24284
2001-01-01  24186
2001-02-01  24275
2001-03-01  24310
2001-04-01  24029
