Title:               Civilian Labor Force in Scotland County, NC
Series ID:           NCSCOT5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:12 AM CST
Notes:               

DATE        VALUE
2015-01-01  11924
2015-02-01  11847
2015-03-01  11893
2015-04-01  11783
2015-05-01  11947
2015-06-01  12007
2015-07-01  11972
2015-08-01  11741
2015-09-01  11722
2015-10-01  11864
2015-11-01  11912
2015-12-01  11709
2016-01-01  11833
2016-02-01  11827
2016-03-01  11883
2016-04-01  11708
2016-05-01  11575
2016-06-01  11527
2016-07-01  11685
2016-08-01  11439
2016-09-01  11544
2016-10-01  11560
2016-11-01  11520
2016-12-01  11376
2017-01-01  11629
2017-02-01  11658
2017-03-01  11734
2017-04-01  11508
2017-05-01  11498
2017-06-01  11486
2017-07-01  11510
2017-08-01  11349
2017-09-01  11482
2017-10-01  11503
2017-11-01  11469
2017-12-01  11442
2018-01-01  11631
2018-02-01  11630
2018-03-01  11585
2018-04-01  11450
2018-05-01  11590
2018-06-01  11589
2018-07-01  11566
2018-08-01  11283
2018-09-01  11254
2018-10-01  11384
2018-11-01  11343
