Title:               Civilian Labor Force in Stanly County, NC
Series ID:           NCSTAN7LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
2015-01-01  28402
2015-02-01  28502
2015-03-01  28677
2015-04-01  28658
2015-05-01  29257
2015-06-01  29030
2015-07-01  28886
2015-08-01  28613
2015-09-01  28807
2015-10-01  28989
2015-11-01  28947
2015-12-01  28787
2016-01-01  28814
2016-02-01  28977
2016-03-01  29191
2016-04-01  29122
2016-05-01  29251
2016-06-01  29388
2016-07-01  29394
2016-08-01  29147
2016-09-01  29535
2016-10-01  29600
2016-11-01  29506
2016-12-01  29148
2017-01-01  29305
2017-02-01  29527
2017-03-01  29811
2017-04-01  29670
2017-05-01  29752
2017-06-01  29896
2017-07-01  29921
2017-08-01  29738
2017-09-01  30096
2017-10-01  30143
2017-11-01  30128
2017-12-01  29903
2018-01-01  29908
2018-02-01  29949
2018-03-01  30142
2018-04-01  30002
2018-05-01  30326
2018-06-01  30414
2018-07-01  30182
2018-08-01  29866
2018-09-01  30050
2018-10-01  30315
2018-11-01  30229
