Title:               Civilian Labor Force in Sampson County, NC
Series ID:           NCSAMP3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01  22527
1990-02-01  22678
1990-03-01  22998
1990-04-01  23348
1990-05-01  24312
1990-06-01  24974
1990-07-01  24965
1990-08-01  23832
1990-09-01  23249
1990-10-01  23787
1990-11-01  23559
1990-12-01  23277
1991-01-01  21812
1991-02-01  22424
1991-03-01  22820
1991-04-01  23045
1991-05-01  23793
1991-06-01  23983
1991-07-01  23727
1991-08-01  23215
1991-09-01  23020
1991-10-01  23321
1991-11-01  23382
1991-12-01  22991
1992-01-01  23253
1992-02-01  23814
1992-03-01  23641
1992-04-01  23637
1992-05-01  24218
1992-06-01  24401
1992-07-01  24231
1992-08-01  23786
1992-09-01  23693
1992-10-01  23770
1992-11-01  23552
1992-12-01  23420
1993-01-01  23293
1993-02-01  23560
1993-03-01  23339
1993-04-01  23435
1993-05-01  23914
1993-06-01  24148
1993-07-01  24026
1993-08-01  24065
1993-09-01  23349
1993-10-01  23476
1993-11-01  23183
1993-12-01  22678
1994-01-01  22190
1994-02-01  22908
1994-03-01  22914
1994-04-01  22541
1994-05-01  23474
1994-06-01  23513
1994-07-01  23071
1994-08-01  23308
1994-09-01  23825
1994-10-01  24170
1994-11-01  23659
1994-12-01  23330
1995-01-01  23150
1995-02-01  23186
1995-03-01  23818
1995-04-01  23899
1995-05-01  24065
1995-06-01  24455
1995-07-01  24372
1995-08-01  24328
1995-09-01  24013
1995-10-01  23886
1995-11-01  23752
1995-12-01  23390
1996-01-01  23398
1996-02-01  23252
1996-03-01  23422
1996-04-01  23402
1996-05-01  24330
1996-06-01  24469
1996-07-01  24428
1996-08-01  24718
1996-09-01  24439
1996-10-01  24373
1996-11-01  24233
1996-12-01  24086
1997-01-01  23861
1997-02-01  24619
1997-03-01  24469
1997-04-01  24337
1997-05-01  24891
1997-06-01  25259
1997-07-01  24976
1997-08-01  25105
1997-09-01  24358
1997-10-01  24559
1997-11-01  24212
1997-12-01  23841
1998-01-01  24007
1998-02-01  23385
1998-03-01  23609
1998-04-01  23540
1998-05-01  23959
1998-06-01  24305
1998-07-01  24328
1998-08-01  24861
1998-09-01  23877
1998-10-01  24183
1998-11-01  23848
1998-12-01  23941
1999-01-01  23773
1999-02-01  23821
1999-03-01  24322
1999-04-01  24552
1999-05-01  24264
1999-06-01  24484
1999-07-01  24502
1999-08-01  24804
1999-09-01  24696
1999-10-01  24580
1999-11-01  23888
1999-12-01  23268
2000-01-01  28077
2000-02-01  27808
2000-03-01  28690
2000-04-01  28503
2000-05-01  29052
2000-06-01  30005
2000-07-01  28836
2000-08-01  30056
2000-09-01  29607
2000-10-01  29249
2000-11-01  28533
2000-12-01  28765
2001-01-01  29056
2001-02-01  28827
2001-03-01  28955
2001-04-01  28547
2001-05-01  28873
2001-06-01  29254
2001-07-01  28958
2001-08-01  30040
2001-09-01  30179
2001-10-01  29729
2001-11-01  29794
2001-12-01  29251
2002-01-01  28699
2002-02-01  28981
2002-03-01  28835
2002-04-01  29117
2002-05-01  29763
2002-06-01  29785
2002-07-01  29684
2002-08-01  29225
2002-09-01  29933
2002-10-01  29680
2002-11-01  28947
2002-12-01  29101
2003-01-01  29727
2003-02-01  29489
2003-03-01  29974
2003-04-01  30190
2003-05-01  31312
2003-06-01  31395
2003-07-01  31626
2003-08-01  31574
2003-09-01  31352
2003-10-01  32950
2003-11-01  32515
2003-12-01  31872
2004-01-01  31727
2004-02-01  31358
2004-03-01  31619
2004-04-01  31865
2004-05-01  31934
2004-06-01  31181
2004-07-01  31467
2004-08-01  30883
2004-09-01  30580
2004-10-01  31100
2004-11-01  31389
2004-12-01  31344
2005-01-01  31125
2005-02-01  30949
2005-03-01  31486
2005-04-01  31979
2005-05-01  31101
2005-06-01  31195
2005-07-01  31724
2005-08-01  31385
2005-09-01  30809
2005-10-01  30976
2005-11-01  31156
2005-12-01  30542
2006-01-01  30176
2006-02-01  30206
2006-03-01  30266
2006-04-01  31331
2006-05-01  31090
2006-06-01  31981
2006-07-01  32176
2006-08-01  30948
2006-09-01  30980
2006-10-01  31500
2006-11-01  31918
2006-12-01  32272
2007-01-01  33245
2007-02-01  32534
2007-03-01  32443
2007-04-01  33055
2007-05-01  33299
2007-06-01  33357
2007-07-01  33067
2007-08-01  32235
2007-09-01  32398
2007-10-01  33132
2007-11-01  33936
2007-12-01  33567
2008-01-01  32670
2008-02-01  31389
2008-03-01  32002
2008-04-01  32599
2008-05-01  32728
2008-06-01  33385
2008-07-01  32697
2008-08-01  32275
2008-09-01  32456
2008-10-01  31749
2008-11-01  32534
2008-12-01  31930
2009-01-01  31628
2009-02-01  31431
2009-03-01  30845
2009-04-01  30972
2009-05-01  31821
2009-06-01  31755
2009-07-01  31454
2009-08-01  30631
2009-09-01  31142
2009-10-01  31287
2009-11-01  31636
2009-12-01  31033
2010-01-01  29546
2010-02-01  29325
2010-03-01  28771
2010-04-01  29445
2010-05-01  29559
2010-06-01  29699
2010-07-01  29292
2010-08-01  29584
2010-09-01  30339
2010-10-01  30222
2010-11-01  30030
2010-12-01  28883
2011-01-01  28982
2011-02-01  29100
2011-03-01  29290
2011-04-01  29489
2011-05-01  29878
2011-06-01  30343
2011-07-01  29756
2011-08-01  30072
2011-09-01  30135
2011-10-01  30119
2011-11-01  29944
2011-12-01  29126
2012-01-01  28819
2012-02-01  29425
2012-03-01  28962
2012-04-01  29301
2012-05-01  30095
2012-06-01  30309
2012-07-01  30051
2012-08-01  29647
2012-09-01  29850
2012-10-01  30331
2012-11-01  30136
2012-12-01  29437
2013-01-01  29206
