Title:               State Government Tax Collections, Total Sales and Gross Receipts Taxes in North Carolina
Series ID:           NCSLGRTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1942-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE           VALUE
1942-01-01     53925
1943-01-01         .
1944-01-01     51833
1945-01-01         .
1946-01-01     71860
1947-01-01         .
1948-01-01    103052
1949-01-01         .
1950-01-01    118894
1951-01-01    141432
1952-01-01    151111
1953-01-01    161396
1954-01-01    164905
1955-01-01    174524
1956-01-01    199970
1957-01-01    208161
1958-01-01    209062
1959-01-01    225574
1960-01-01    240859
1961-01-01    251566
1962-01-01    302341
1963-01-01    328308
1964-01-01    347706
1965-01-01    370526
1966-01-01    406706
1967-01-01    438952
1968-01-01    463244
1969-01-01    514296
1970-01-01    647688
1971-01-01    710762
1972-01-01    789453
1973-01-01    873095
1974-01-01    932107
1975-01-01    968773
1976-01-01   1056978
1977-01-01   1128763
1978-01-01   1241045
1979-01-01   1352485
1980-01-01   1413025
1981-01-01   1496377
1982-01-01   1673132
1983-01-01   1763988
1984-01-01   1998866
1985-01-01   2161583
1986-01-01   2312029
1987-01-01   2535085
1988-01-01   2821701
1989-01-01   2916047
1990-01-01   3192321
1991-01-01   3126370
1992-01-01   3972981
1993-01-01   4211669
1994-01-01   4597688
1995-01-01   4861376
1996-01-01   5143859
1997-01-01   5316289
1998-01-01   5735162
1999-01-01   5868703
2000-01-01   5941139
2001-01-01   6214959
2002-01-01   6564585
2003-01-01   6752122
2004-01-01   7269201
2005-01-01   7615545
2006-01-01   8366868
2007-01-01   8866005
2008-01-01   8934786
2009-01-01   8435185
2010-01-01   9433591
2011-01-01   9934501
2012-01-01   9540442
2013-01-01   9713199
2014-01-01   9980713
2015-01-01  10733859
2016-01-01  11149894
2017-01-01  11699036
